customer_id,age,gender,city,state,loyalty_tier,preferred_category,acquisition_channel,email_opt_in,push_opt_in,price_sensitivity_score,digital_engagement_score,tenure_days,is_new_customer,lifetime_orders,lifetime_revenue,avg_order_value,total_discount,avg_discount,days_since_last_purchase,purchase_span_days,orders_per_active_month,orders_30d,revenue_30d,orders_90d,revenue_90d,orders_180d,revenue_180d,favorite_category_by_spend,favorite_category_spend,categories_purchased,marketing_touches,email_opens,marketing_clicks,marketing_conversions_7d,avg_offer_pct,marketing_cost,open_rate,click_rate,marketing_conversion_rate,sessions_lifetime,avg_events_per_session,avg_session_minutes,product_view_sessions,review_view_sessions,cart_sessions,checkout_sessions,web_purchase_sessions,days_since_last_session,session_conversion_rate,cart_to_purchase_rate,support_tickets,avg_resolution_hours,avg_csat,unresolved_tickets,churn_label_180d,purchase_propensity_label_30d
C00001,33,Female,Scottsdale,AZ,Silver,Beauty,Paid Search,1,0,0.852,0.38,519,0,2.0,372.04999999999995,186.02499999999998,119.38999999999999,59.69499999999999,244.0,266.0,0.22556390977443608,0.0,0.0,0.0,0.0,0.0,0.0,Apparel,172.21,3.0,4,1,0,1,10.0,1.9349999999999998,0.25,0.0,0.25,11,4.454545454545454,5.972727272727273,6,5,4,2,2,169,0.18181818181818182,0.5,0.0,0.0,0.0,0.0,0,0
C00002,34,Male,Raleigh,NC,Silver,Baby,Affiliate,1,1,0.559,0.441,340,0,6.0,1171.83,195.30499999999998,271.02,45.169999999999995,1.0,335.0,0.5373134328358209,2.0,272.40999999999997,4.0,733.19,4.0,733.19,Baby,238.16,5.0,8,1,0,1,17.5,6.14,0.125,0.0,0.125,12,3.75,5.279166666666667,7,4,1,1,1,1,0.08333333333333333,1.0,1.0,9.0,5.0,0.0,0,0
C00003,44,Female,Austin,TX,Unknown,Pet,Referral,1,0,0.349,0.49,462,0,2.0,751.89,375.945,142.01,71.005,177.0,132.0,0.45454545454545453,0.0,0.0,0.0,0.0,1.0,397.52,Apparel,369.79,2.0,8,3,1,2,8.75,6.5,0.375,0.125,0.25,11,4.7272727272727275,7.842424242424243,8,7,6,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C00004,69,Male,San Francisco,CA,Unknown,Sports,Paid Search,1,1,0.602,0.784,200,0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,11,7,1,0,10.454545454545455,5.22,0.6363636363636364,0.09090909090909091,0.0,11,3.1818181818181817,4.118181818181818,4,3,2,2,2,8,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,1,0
C00005,23,Prefer not to say,Chicago,IL,Unknown,Sports,Referral,1,1,0.311,0.541,514,0,0.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,9,3,0,1,17.77777777777778,8.83,0.3333333333333333,0.0,0.1111111111111111,16,4.9375,8.379166666666666,12,9,6,4,4,51,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,1,0
C00006,40,Male,New York,NY,Silver,Grocery,Direct,1,1,0.507,0.902,577,0,4.0,1535.47,383.8675,210.07,52.5175,120.0,269.0,0.44609665427509293,0.0,0.0,0.0,0.0,2.0,1051.67,Sports,521.9,3.0,11,7,3,2,18.181818181818183,10.835,0.6363636363636364,0.2727272727272727,0.18181818181818182,17,4.352941176470588,6.995098039215686,10,7,5,4,4,19,0.23529411764705882,0.8,0.0,0.0,0.0,0.0,0,0
C00007,65,Female,New York,NY,Unknown,Beauty,Paid Social,1,1,0.618,0.644,659,0,4.0,780.62,195.155,104.38,26.095,85.0,87.0,1.3793103448275863,0.0,0.0,1.0,218.28,4.0,780.62,Beauty,379.38,4.0,17,8,2,2,14.117647058823529,12.93,0.47058823529411764,0.11764705882352941,0.11764705882352941,15,4.466666666666667,7.054444444444444,12,7,6,1,1,20,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0,0
C00008,56,Female,Charlotte,NC,Unknown,Sports,Paid Social,1,0,0.755,0.458,593,0,4.0,2082.87,520.7175,466.16999999999996,116.54249999999999,315.0,259.0,0.46332046332046334,0.0,0.0,0.0,0.0,0.0,0.0,Sports,1580.53,3.0,5,2,1,0,15.0,4.64,0.4,0.2,0.0,10,3.7,5.253333333333333,3,3,2,1,1,47,0.1,0.5,0.0,0.0,0.0,0.0,1,0
C00009,64,Non-binary,Boulder,CO,Unknown,Electronics,Referral,1,0,0.891,0.515,842,0,3.0,633.81,211.26999999999998,146.25,48.75,65.0,206.0,0.4368932038834952,0.0,0.0,1.0,280.35,1.0,280.35,Electronics,341.08000000000004,2.0,8,4,1,0,9.375,8.825,0.5,0.125,0.0,11,4.363636363636363,6.693939393939393,8,5,4,0,0,21,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C00010,49,Male,Naperville,IL,Unknown,Home,Paid Social,1,0,0.247,0.667,638,0,0.0,0.0,0.0,0.0,0.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,8,2,0,3,16.25,6.63,0.25,0.0,0.375,10,4.4,6.4816666666666665,7,5,3,2,2,62,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,1,0
C00011,23,Non-binary,Seattle,WA,Unknown,Pet,Referral,1,1,0.221,0.68,194,0,1.0,251.14,251.14,17.2,17.2,55.0,0.0,1.0,0.0,0.0,1.0,251.14,1.0,251.14,Pet,233.62,1.0,4,1,1,1,10.0,2.9450000000000003,0.25,0.25,0.25,19,3.9473684210526314,6.7482456140350875,10,5,7,4,4,5,0.21052631578947367,0.5714285714285714,0.0,0.0,0.0,0.0,0,1
C00012,25,Male,Chicago,IL,Silver,Grocery,Paid Search,1,1,0.555,0.744,317,0,3.0,920.92,306.9733333333333,82.94,27.646666666666665,153.0,70.0,1.2857142857142856,0.0,0.0,0.0,0.0,1.0,419.84,Grocery,461.92,2.0,13,9,5,0,14.615384615384615,12.57,0.6923076923076923,0.38461538461538464,0.0,9,2.6666666666666665,3.4814814814814814,2,2,1,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C00013,24,Female,Boulder,CO,Unknown,Home,Referral,1,1,0.312,0.386,309,0,0.0,0.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,9,0,0,1,15.555555555555555,9.79,0.0,0.0,0.1111111111111111,9,5.0,7.394444444444444,6,4,5,4,4,92,0.4444444444444444,0.8,0.0,0.0,0.0,0.0,1,0
C00014,23,Male,Seattle,WA,Unknown,Baby,Affiliate,1,1,0.251,0.454,860,0,6.0,1791.88,298.6466666666667,172.20999999999998,28.701666666666664,8.0,773.0,0.2328589909443726,1.0,309.78,1.0,309.78,1.0,309.78,Sports,780.8199999999999,5.0,7,3,0,0,17.857142857142858,6.3149999999999995,0.42857142857142855,0.0,0.0,12,4.666666666666667,7.248611111111111,8,5,4,4,4,174,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0,0
C00015,66,Male,New York,NY,Unknown,Sports,Paid Social,1,1,0.251,0.411,279,0,1.0,40.59,40.59,1.8,1.8,231.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Home,31.26,1.0,8,4,0,1,13.125,8.24,0.5,0.0,0.125,11,5.090909090909091,9.863636363636363,9,6,6,2,2,20,0.18181818181818182,0.3333333333333333,0.0,0.0,0.0,0.0,1,0
C00016,68,Male,Boulder,CO,Platinum,Electronics,Organic Search,1,0,0.466,0.649,735,0,6.0,2245.57,374.2616666666667,434.11,72.35166666666667,46.0,576.0,0.3125,0.0,0.0,1.0,642.51,2.0,997.39,Sports,704.12,6.0,8,6,3,1,16.25,4.8,0.75,0.375,0.125,12,4.166666666666667,6.69861111111111,5,2,5,4,4,3,0.3333333333333333,0.8,1.0,11.6,2.0,0.0,0,1
C00017,35,Prefer not to say,Orlando,FL,Platinum,Beauty,Organic Search,1,0,0.472,0.673,640,0,16.0,4167.21,260.450625,649.72,40.6075,13.0,619.0,0.7754442649434572,1.0,24.67,1.0,24.67,3.0,999.6999999999999,Beauty,2025.15,7.0,10,4,1,2,13.0,6.345,0.4,0.1,0.2,14,4.785714285714286,7.036904761904762,11,5,6,3,3,6,0.21428571428571427,0.5,2.0,21.3,4.5,0.0,0,1
C00018,20,Male,Naperville,IL,Unknown,Electronics,Affiliate,1,0,0.106,0.796,160,0,1.0,280.77,280.77,17.91,17.91,109.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,280.77,Electronics,261.18,1.0,8,3,0,0,13.125,2.8049999999999997,0.375,0.0,0.0,15,3.8,6.242222222222222,8,7,4,1,1,9,0.06666666666666667,0.25,0.0,0.0,0.0,0.0,0,0
C00019,66,Female,Raleigh,NC,Silver,Baby,Organic Search,1,1,0.724,0.433,727,0,5.0,649.35,129.87,136.52,27.304000000000002,16.0,616.0,0.24350649350649348,1.0,61.94,1.0,61.94,2.0,316.1,Pet,236.43,5.0,3,0,0,0,15.0,1.51,0.0,0.0,0.0,12,3.1666666666666665,4.6402777777777775,7,1,0,0,0,65,0.0,0.0,0.0,0.0,0.0,0.0,0,0
C00020,31,Non-binary,Denver,CO,Unknown,Electronics,Paid Social,1,0,0.633,0.432,499,0,0.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,5,2,1,0,11.0,3.5,0.4,0.2,0.0,12,4.583333333333333,7.979166666666667,7,6,5,2,2,30,0.16666666666666666,0.4,0.0,0.0,0.0,0.0,1,0
C00021,59,Male,San Francisco,CA,Unknown,Pet,Direct,1,0,0.943,0.728,788,0,3.0,1178.3,392.76666666666665,313.45,104.48333333333333,146.0,631.0,0.14263074484944532,0.0,0.0,0.0,0.0,2.0,1041.47,Sports,724.26,3.0,10,3,1,1,11.5,8.719999999999999,0.3,0.1,0.1,15,4.333333333333333,6.4255555555555555,9,2,7,5,5,5,0.3333333333333333,0.7142857142857143,1.0,10.1,3.0,0.0,0,0
C00022,71,Prefer not to say,Phoenix,AZ,Unknown,Pet,Referral,1,1,0.666,0.939,487,0,1.0,217.43,217.43,34.98,34.98,33.0,0.0,1.0,0.0,0.0,1.0,217.43,1.0,217.43,Home,139.39,2.0,14,7,3,2,12.142857142857142,10.309999999999999,0.5,0.21428571428571427,0.14285714285714285,13,4.153846153846154,6.5025641025641026,7,6,4,2,2,30,0.15384615384615385,0.5,1.0,9.7,5.0,0.0,0,1
C00023,20,Male,Boulder,CO,Silver,Grocery,Organic Search,0,1,0.84,0.391,347,0,5.0,882.8100000000001,176.562,218.57,43.714,79.0,216.0,0.6944444444444444,0.0,0.0,2.0,409.71000000000004,2.0,409.71000000000004,Grocery,814.73,1.0,5,2,0,0,19.0,4.279999999999999,0.4,0.0,0.0,10,3.9,5.5,5,5,4,1,1,11,0.1,0.25,0.0,0.0,0.0,0.0,0,0
C00024,72,Prefer not to say,Scottsdale,AZ,Platinum,Beauty,Direct,1,0,0.674,0.414,374,0,6.0,1422.9,237.15,313.12,52.18666666666667,34.0,285.0,0.631578947368421,0.0,0.0,1.0,418.87,2.0,610.47,Beauty,716.47,3.0,4,1,0,2,5.0,2.24,0.25,0.0,0.5,6,4.833333333333333,8.127777777777778,4,2,3,2,2,39,0.3333333333333333,0.6666666666666666,1.0,5.9,4.0,0.0,0,0
C00025,75,Female,San Jose,CA,Unknown,Pet,Paid Social,1,1,0.607,0.678,358,0,3.0,1159.99,386.66333333333336,255.26,85.08666666666666,115.0,123.0,0.7317073170731708,0.0,0.0,0.0,0.0,1.0,60.37,Electronics,901.97,3.0,12,5,2,3,8.75,6.835,0.4166666666666667,0.16666666666666666,0.25,13,4.230769230769231,6.698717948717948,8,4,4,3,3,2,0.23076923076923078,0.75,1.0,3.4,4.0,0.0,0,0
C00026,27,Male,Cambridge,MA,Gold,Sports,Direct,1,1,0.732,0.88,529,0,13.0,3564.29,274.17615384615385,652.4200000000001,50.18615384615385,42.0,471.0,0.8280254777070064,0.0,0.0,1.0,762.42,3.0,997.17,Sports,1740.04,4.0,12,6,1,1,13.75,6.43,0.5,0.08333333333333333,0.08333333333333333,16,4.5,8.621875,10,8,5,3,3,79,0.1875,0.6,1.0,8.8,4.0,0.0,0,1
C00027,62,Non-binary,Phoenix,AZ,Unknown,Beauty,Direct,1,1,0.218,0.407,903,0,4.0,1283.88,320.97,177.14,44.285,227.0,524.0,0.22900763358778628,0.0,0.0,0.0,0.0,0.0,0.0,Electronics,782.9399999999999,4.0,9,3,1,0,13.88888888888889,7.12,0.3333333333333333,0.1111111111111111,0.0,9,4.777777777777778,8.36111111111111,8,6,3,0,0,232,0.0,0.0,1.0,8.2,5.0,0.0,1,0
C00028,24,Female,San Francisco,CA,Unknown,Baby,Referral,1,1,0.84,0.604,210,0,1.0,328.65,328.65,108.72,108.72,72.0,0.0,1.0,0.0,0.0,1.0,328.65,1.0,328.65,Grocery,305.72,1.0,8,6,2,1,10.625,6.335,0.75,0.25,0.125,10,3.8,5.1049999999999995,6,3,1,1,1,12,0.1,1.0,0.0,0.0,0.0,0.0,0,0
C00029,48,Non-binary,Houston,TX,Unknown,Grocery,Paid Social,1,1,0.833,0.897,778,0,3.0,851.37,283.79,194.06,64.68666666666667,189.0,445.0,0.20224719101123595,0.0,0.0,0.0,0.0,0.0,0.0,Sports,251.46,5.0,7,2,1,1,5.714285714285714,6.7299999999999995,0.2857142857142857,0.14285714285714285,0.14285714285714285,17,4.9411764705882355,8.540196078431373,10,8,10,8,8,51,0.47058823529411764,0.8,1.0,4.4,4.0,0.0,1,0
C00030,55,Prefer not to say,Orlando,FL,Unknown,Pet,Organic Search,1,1,0.554,0.489,835,0,9.0,2274.34,252.70444444444445,364.6,40.51111111111111,27.0,747.0,0.3614457831325301,1.0,202.4,1.0,202.4,2.0,482.81000000000006,Pet,1081.44,4.0,4,2,1,0,11.25,1.94,0.5,0.25,0.0,17,3.8823529411764706,6.309803921568627,9,8,4,1,1,125,0.058823529411764705,0.25,0.0,0.0,0.0,0.0,0,0
C00031,42,Prefer not to say,Boulder,CO,Silver,Pet,Direct,0,0,0.601,0.797,278,0,1.0,308.71,308.71,14.83,14.83,136.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,308.71,Electronics,287.17,1.0,13,6,3,0,13.846153846153847,8.51,0.46153846153846156,0.23076923076923078,0.0,17,4.882352941176471,7.920588235294118,10,5,9,6,6,33,0.35294117647058826,0.6666666666666666,0.0,0.0,0.0,0.0,0,0
C00032,41,Non-binary,Boston,MA,Unknown,Beauty,Referral,1,0,0.608,0.638,359,0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,9,5,1,1,13.88888888888889,5.29,0.5555555555555556,0.1111111111111111,0.1111111111111111,20,4.6,7.0166666666666675,13,12,8,3,3,12,0.15,0.375,0.0,0.0,0.0,0.0,1,0
C00033,56,Female,Dallas,TX,Unknown,Electronics,Paid Search,0,1,0.298,0.419,447,0,5.0,1418.6399999999999,283.72799999999995,121.51,24.302,72.0,355.0,0.4225352112676056,0.0,0.0,1.0,276.32,2.0,626.62,Electronics,853.8100000000001,3.0,2,1,1,0,0.0,1.2049999999999998,0.5,0.5,0.0,11,3.727272727272727,5.872727272727272,5,3,2,2,2,6,0.18181818181818182,1.0,1.0,7.0,4.0,0.0,0,0
C00034,25,Female,Dallas,TX,Unknown,Electronics,Referral,1,1,0.15,0.368,734,0,1.0,298.86,298.86,45.72,45.72,140.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,298.86,Pet,220.73,2.0,4,1,0,0,15.0,3.4299999999999997,0.25,0.0,0.0,7,3.2857142857142856,3.9928571428571433,2,2,2,1,1,96,0.14285714285714285,0.5,0.0,0.0,0.0,0.0,0,0
C00035,75,Female,Scottsdale,AZ,Silver,Electronics,Affiliate,1,1,0.544,0.406,801,0,5.0,1444.8,288.96,238.24,47.648,247.0,384.0,0.390625,0.0,0.0,0.0,0.0,0.0,0.0,Electronics,734.76,4.0,7,5,0,1,12.857142857142858,2.7399999999999998,0.7142857142857143,0.0,0.14285714285714285,8,3.875,6.1,5,3,1,1,1,59,0.125,1.0,0.0,0.0,0.0,0.0,1,0
C00036,74,Male,Raleigh,NC,Silver,Grocery,Referral,0,1,0.552,0.811,273,0,3.0,1093.97,364.6566666666667,304.11,101.37,125.0,136.0,0.6617647058823529,0.0,0.0,0.0,0.0,2.0,609.18,Grocery,512.4,3.0,9,7,1,2,7.777777777777778,5.795,0.7777777777777778,0.1111111111111111,0.2222222222222222,12,4.333333333333333,7.820833333333333,8,5,4,2,2,14,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0,0
C00037,41,Male,Boston,MA,Silver,Home,Affiliate,0,1,0.538,0.709,448,0,1.0,263.46,263.46,37.28,37.28,105.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,263.46,Sports,245.08,1.0,4,2,0,0,12.5,3.91,0.5,0.0,0.0,16,3.5,5.447916666666667,9,5,3,1,1,6,0.0625,0.3333333333333333,0.0,0.0,0.0,0.0,0,0
C00038,72,Non-binary,Austin,TX,Silver,Sports,Paid Social,1,0,0.795,0.609,226,0,1.0,370.75,370.75,54.78,54.78,128.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,370.75,Sports,344.88,1.0,6,1,0,1,18.333333333333332,5.32,0.16666666666666666,0.0,0.16666666666666666,9,4.111111111111111,6.303703703703704,6,3,2,1,1,17,0.1111111111111111,0.5,0.0,0.0,0.0,0.0,0,0
C00039,65,Female,Charlotte,NC,Unknown,Electronics,Direct,1,1,0.684,0.304,338,0,0.0,0.0,0.0,0.0,0.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,8,4,0,0,13.125,4.785,0.5,0.0,0.0,4,3.75,5.183333333333334,2,2,1,0,0,120,0.0,0.0,0.0,0.0,0.0,0.0,1,0
C00040,35,Prefer not to say,Naperville,IL,Gold,Apparel,Referral,1,1,0.591,0.195,448,0,7.0,2829.12,404.15999999999997,451.72,64.53142857142858,56.0,309.0,0.6796116504854368,0.0,0.0,2.0,1563.76,3.0,1722.13,Apparel,1670.8999999999999,4.0,3,0,0,0,5.0,2.705,0.0,0.0,0.0,4,2.5,4.25,1,0,0,0,0,29,0.0,0.0,1.0,5.2,3.0,0.0,0,0
C00041,67,Male,Boulder,CO,Gold,Sports,Paid Social,1,1,0.209,0.683,692,0,8.0,2819.91,352.48875,237.02,29.6275,187.0,434.0,0.5529953917050692,0.0,0.0,0.0,0.0,0.0,0.0,Baby,922.78,6.0,12,6,2,1,13.75,9.545,0.5,0.16666666666666666,0.08333333333333333,18,4.888888888888889,9.032407407407408,13,9,8,5,5,74,0.2777777777777778,0.625,1.0,4.6,3.0,0.0,0,0
C00042,47,Female,Cambridge,MA,Gold,Sports,Affiliate,1,1,0.486,0.348,148,0,3.0,674.62,224.87333333333333,77.03,25.676666666666666,45.0,90.0,1.0,0.0,0.0,2.0,517.14,3.0,674.62,Apparel,322.14,3.0,6,1,0,0,17.5,5.84,0.16666666666666666,0.0,0.0,8,4.625,7.689583333333333,5,3,3,2,2,0,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0,0
C00043,33,Prefer not to say,Cambridge,MA,Silver,Sports,Affiliate,1,0,0.055,0.929,257,0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,10,7,3,0,11.5,9.4,0.7,0.3,0.0,13,4.846153846153846,8.198717948717949,7,6,6,4,4,2,0.3076923076923077,0.6666666666666666,0.0,0.0,0.0,0.0,1,0
C00044,34,Male,Chicago,IL,Gold,Beauty,Affiliate,1,0,0.195,0.885,149,0,1.0,786.65,786.65,71.53,71.53,11.0,0.0,1.0,1.0,786.65,1.0,786.65,1.0,786.65,Beauty,731.77,1.0,11,7,3,1,11.363636363636363,4.449999999999999,0.6363636363636364,0.2727272727272727,0.09090909090909091,11,4.181818181818182,7.763636363636365,7,3,4,2,2,3,0.18181818181818182,0.5,0.0,0.0,0.0,0.0,0,1
C00045,58,Non-binary,Orlando,FL,Unknown,Baby,Affiliate,1,1,0.437,0.815,835,0,5.0,496.18000000000006,99.23600000000002,46.74,9.348,112.0,703.0,0.21337126600284495,0.0,0.0,0.0,0.0,2.0,81.34,Baby,455.06000000000006,1.0,9,3,0,1,12.777777777777779,9.025,0.3333333333333333,0.0,0.1111111111111111,11,4.7272727272727275,6.833333333333334,6,5,6,4,4,130,0.36363636363636365,0.6666666666666666,0.0,0.0,0.0,0.0,0,0
C00046,68,Female,Scottsdale,AZ,Silver,Electronics,Affiliate,1,1,0.351,0.369,595,0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,9,2,0,0,15.0,9.065,0.2222222222222222,0.0,0.0,7,4.0,5.809523809523809,4,2,2,2,2,41,0.2857142857142857,1.0,0.0,0.0,0.0,0.0,1,0
C00047,46,Male,Boulder,CO,Gold,Electronics,Paid Social,0,1,0.27,0.754,425,0,2.0,509.08,254.54,32.67,16.335,202.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Electronics,352.09999999999997,2.0,9,6,2,0,12.222222222222221,8.91,0.6666666666666666,0.2222222222222222,0.0,16,4.5,7.366666666666666,11,8,4,3,3,29,0.1875,0.75,0.0,0.0,0.0,0.0,1,0
C00048,39,Female,Charlotte,NC,Platinum,Grocery,Paid Social,1,0,0.137,0.355,566,0,15.0,4409.78,293.9853333333333,304.6,20.30666666666667,6.0,525.0,0.8571428571428571,2.0,550.3199999999999,3.0,625.5899999999999,5.0,1099.88,Electronics,1012.35,7.0,6,2,0,1,8.333333333333334,2.73,0.3333333333333333,0.0,0.16666666666666666,13,4.538461538461538,7.355128205128205,7,4,6,5,5,13,0.38461538461538464,0.8333333333333334,2.0,10.45,4.5,0.0,0,0
C00049,51,Female,Cambridge,MA,Gold,Home,Affiliate,1,1,0.239,0.51,234,0,1.0,79.24,79.24,11.14,11.14,162.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,79.24,Pet,73.71,1.0,4,2,1,0,20.0,2.235,0.5,0.25,0.0,14,4.428571428571429,6.780952380952381,8,7,7,2,2,12,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0,0
C00050,51,Female,Buffalo,NY,Silver,Baby,Affiliate,1,1,0.535,0.708,728,0,6.0,1517.73,252.955,171.28,28.546666666666667,2.0,596.0,0.30201342281879195,1.0,19.23,2.0,173.73999999999998,2.0,173.73999999999998,Apparel,670.11,3.0,9,3,2,0,9.444444444444445,4.485,0.3333333333333333,0.2222222222222222,0.0,13,3.769230769230769,6.182051282051281,7,4,3,2,2,111,0.15384615384615385,0.6666666666666666,1.0,5.2,5.0,0.0,0,1
