customer_id,age,gender,city,state,loyalty_tier,preferred_category,acquisition_channel,email_opt_in,push_opt_in,price_sensitivity_score,digital_engagement_score,tenure_days,is_new_customer,lifetime_orders,lifetime_revenue,avg_order_value,total_discount,avg_discount,days_since_last_purchase,purchase_span_days,orders_per_active_month,orders_30d,revenue_30d,orders_90d,revenue_90d,orders_180d,revenue_180d,favorite_category_by_spend,favorite_category_spend,categories_purchased,marketing_touches,email_opens,marketing_clicks,marketing_conversions_7d,avg_offer_pct,marketing_cost,open_rate,click_rate,marketing_conversion_rate,sessions_lifetime,avg_events_per_session,avg_session_minutes,product_view_sessions,review_view_sessions,cart_sessions,checkout_sessions,web_purchase_sessions,days_since_last_session,session_conversion_rate,cart_to_purchase_rate,support_tickets,avg_resolution_hours,avg_csat,unresolved_tickets,snapshot_date,purchase_label_30d,churn_label_180d,future_revenue_180d
C00008,56,Female,Charlotte,NC,Unknown,Sports,Paid Social,1,0,0.755,0.458,47,1,2,1339.65,669.825,303.54999999999995,151.77499999999998,13,15,2.0,2.0,1339.65,2.0,1339.65,2.0,1339.65,Sports,1246.19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.3,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,0,0,352.9
C00014,23,Male,Seattle,WA,Unknown,Baby,Affiliate,1,1,0.251,0.454,314,0,1,131.33,131.33,16.66,16.66,235,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Home,122.17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,10.961111111111114,2.0,1.0,2.0,2.0,2.0,52.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,2025-01-01,0,0,489.64
C00016,68,Male,Boulder,CO,Platinum,Electronics,Organic Search,1,0,0.466,0.649,189,0,3,799.2,266.40000000000003,170.94,56.98,45,31,2.9032258064516125,0.0,0.0,3.0,799.2,3.0,799.2,Electronics,257.9,4,2.0,2.0,2.0,0.0,15.0,1.7,1.0,1.0,0.0,1.0,4.0,5.833333333333333,0.0,0.0,1.0,1.0,1.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,2025-01-01,0,1,0.0
C00017,35,Prefer not to say,Orlando,FL,Platinum,Beauty,Organic Search,1,0,0.472,0.673,94,0,2,630.54,315.27,99.77,49.885,51,35,1.7142857142857142,0.0,0.0,2.0,630.54,2.0,630.54,Home,257.56,3,1.0,1.0,0.0,0.0,10.0,0.85,1.0,0.0,0.0,1.0,6.0,9.333333333333334,1.0,1.0,1.0,0.0,0.0,30.0,0.0,0.0,2.0,21.3,4.5,0.0,2025-01-01,0,0,1728.31
C00019,66,Female,Raleigh,NC,Silver,Baby,Organic Search,1,1,0.724,0.433,181,0,1,98.63,98.63,11.28,11.28,86,0,1.0,0.0,0.0,1.0,98.63,1.0,98.63,Grocery,91.75,1,1.0,0.0,0.0,0.0,10.0,0.005,0.0,0.0,0.0,2.0,2.5,0.9083333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,1,0,234.62
C00021,59,Male,San Francisco,CA,Unknown,Pet,Direct,1,0,0.943,0.728,242,0,1,136.83,136.83,37.09,37.09,231,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Apparel,127.28,1,5.0,2.0,1.0,1.0,15.0,4.275,0.4,0.2,0.2,2.0,2.5,3.8,1.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,0,1,0.0
C00027,62,Non-binary,Phoenix,AZ,Unknown,Beauty,Direct,1,1,0.218,0.407,357,0,2,705.3199999999999,352.65999999999997,103.21000000000001,51.605000000000004,93,112,0.5357142857142857,0.0,0.0,0.0,0.0,1.0,74.16,Electronics,587.13,2,7.0,3.0,1.0,0.0,15.714285714285714,5.91,0.42857142857142855,0.14285714285714285,0.0,3.0,4.333333333333333,6.644444444444445,2.0,2.0,1.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,0,1,0.0
C00029,48,Non-binary,Houston,TX,Unknown,Grocery,Paid Social,1,1,0.833,0.897,232,0,2,581.05,290.525,107.71000000000001,53.855000000000004,16,72,0.8333333333333334,1.0,330.8,2.0,581.05,2.0,581.05,Beauty,185.53,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,7.55,4.0,3.0,3.0,2.0,2.0,4.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,2025-01-01,0,1,0.0
C00030,55,Prefer not to say,Orlando,FL,Unknown,Pet,Organic Search,1,1,0.554,0.489,289,0,4,1105.8200000000002,276.45500000000004,162.95,40.7375,48,180,0.6666666666666666,0.0,0.0,1.0,570.08,2.0,863.58,Electronics,446.05999999999995,3,1.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,6.0,4.333333333333333,7.586111111111111,3.0,3.0,3.0,1.0,1.0,38.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,2025-01-01,0,0,156.46
C00035,75,Female,Scottsdale,AZ,Silver,Electronics,Affiliate,1,1,0.544,0.406,255,0,1,456.31,456.31,42.79,42.79,85,0,1.0,0.0,0.0,1.0,456.31,1.0,456.31,Beauty,424.47,1,2.0,1.0,0.0,0.0,5.0,1.21,0.5,0.0,0.0,3.0,2.3333333333333335,2.4388888888888887,1.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-01,0,0,789.8599999999999
