customer_id,snapshot_date,tenure_days,days_since_last_purchase,lifetime_orders,lifetime_revenue,avg_order_value,sessions_lifetime,churn_label_180d,purchase_propensity_label_30d
C00001,2026-07-01 00:00:00,519,172,3,594.69,198.23,11,0,0
C00002,2026-07-01 00:00:00,340,1,6,1171.83,195.3,12,0,0
C00003,2026-07-01 00:00:00,462,177,2,751.89,375.94,11,0,0
C00004,2026-07-01 00:00:00,200,200,0,0.0,0,11,1,0
C00005,2026-07-01 00:00:00,514,514,0,0.0,0,16,1,0
C00006,2026-07-01 00:00:00,577,120,4,1535.47,383.87,17,0,0
C00007,2026-07-01 00:00:00,659,85,4,780.62,195.16,15,0,0
C00008,2026-07-01 00:00:00,593,315,4,2082.87,520.72,10,1,0
C00009,2026-07-01 00:00:00,842,65,4,944.95,236.24,11,0,0
C00010,2026-07-01 00:00:00,638,638,0,0.0,0,10,1,0
C00011,2026-07-01 00:00:00,194,55,1,251.14,251.14,19,0,1
C00012,2026-07-01 00:00:00,317,153,3,920.92,306.97,9,0,0
C00013,2026-07-01 00:00:00,309,309,0,0.0,0,9,1,0
C00014,2026-07-01 00:00:00,860,8,7,2108.67,301.24,12,0,0
C00015,2026-07-01 00:00:00,279,231,1,40.59,40.59,11,1,0
C00016,2026-07-01 00:00:00,735,46,7,2499.37,357.05,12,0,1
C00017,2026-07-01 00:00:00,640,13,16,4167.21,260.45,14,0,1
C00018,2026-07-01 00:00:00,160,109,1,280.77,280.77,15,0,0
C00019,2026-07-01 00:00:00,727,16,6,707.1,117.85,12,0,0
C00020,2026-07-01 00:00:00,499,499,0,0.0,0,12,1,0
C00021,2026-07-01 00:00:00,788,146,3,1178.3,392.77,15,0,0
C00022,2026-07-01 00:00:00,487,33,1,217.43,217.43,13,0,1
C00023,2026-07-01 00:00:00,347,79,6,1540.1,256.68,10,0,0
C00024,2026-07-01 00:00:00,374,34,8,1925.38,240.67,6,0,0
C00025,2026-07-01 00:00:00,358,115,3,1159.99,386.66,13,0,0
C00026,2026-07-01 00:00:00,529,42,15,4239.21,282.61,16,0,1
C00027,2026-07-01 00:00:00,903,227,6,1447.87,241.31,9,1,0
C00028,2026-07-01 00:00:00,210,72,1,328.65,328.65,10,0,0
C00029,2026-07-01 00:00:00,778,189,4,1224.77,306.19,17,1,0
C00030,2026-07-01 00:00:00,835,27,9,2274.34,252.7,17,0,0
C00031,2026-07-01 00:00:00,278,136,1,308.71,308.71,17,0,0
C00032,2026-07-01 00:00:00,359,359,0,0.0,0,20,1,0
C00033,2026-07-01 00:00:00,447,72,6,1608.53,268.09,11,0,0
C00034,2026-07-01 00:00:00,734,140,2,632.16,316.08,7,0,0
C00035,2026-07-01 00:00:00,801,247,6,1486.21,247.7,8,1,0
C00036,2026-07-01 00:00:00,273,125,3,1093.97,364.66,12,0,0
C00037,2026-07-01 00:00:00,448,105,1,263.46,263.46,16,0,0
C00038,2026-07-01 00:00:00,226,128,1,370.75,370.75,9,0,0
C00039,2026-07-01 00:00:00,338,338,0,0.0,0,4,1,0
C00040,2026-07-01 00:00:00,448,56,7,2829.12,404.16,4,0,0
C00041,2026-07-01 00:00:00,692,65,10,3241.31,324.13,18,0,0
C00042,2026-07-01 00:00:00,148,45,3,674.62,224.87,8,0,0
C00043,2026-07-01 00:00:00,257,257,0,0.0,0,13,1,0
C00044,2026-07-01 00:00:00,149,11,1,786.65,786.65,11,0,1
