customer_id,signup_date,age,gender,city,state,loyalty_tier,preferred_category,acquisition_channel,email_opt_in,push_opt_in,price_sensitivity_score,digital_engagement_score
C00001,2025-01-28 00:00:00,33,Female,Scottsdale,AZ,Silver,Beauty,Paid Search,True,False,0.852,0.38
C00002,2025-07-26 00:00:00,34,Male,Raleigh,NC,Silver,Baby,Affiliate,True,True,0.559,0.441
C00003,2025-03-26 00:00:00,44,Female,Austin,TX,None,Pet,Referral,True,False,0.349,0.49
C00004,2025-12-13 00:00:00,69,Male,San Francisco,CA,None,Sports,Paid Search,True,True,0.602,0.784
C00005,2025-02-02 00:00:00,23,Prefer not to say,Chicago,IL,None,Sports,Referral,True,True,0.311,0.541
C00006,2024-12-01 00:00:00,40,Male,New York,NY,Silver,Grocery,Direct,True,True,0.507,0.902
C00007,2024-09-10 00:00:00,65,Female,New York,NY,None,Beauty,Paid Social,True,True,0.618,0.644
C00008,2024-11-15 00:00:00,56,Female,Charlotte,NC,None,Sports,Paid Social,True,False,0.755,0.458
C00009,2024-03-11 00:00:00,64,Non-binary,Boulder,CO,None,Electronics,Referral,True,False,0.891,0.515
C00010,2024-10-01 00:00:00,49,Male,Naperville,IL,None,Home,Paid Social,True,False,0.247,0.667
C00011,2025-12-19 00:00:00,23,Non-binary,Seattle,WA,None,Pet,Referral,True,True,0.221,0.68
C00012,2025-08-18 00:00:00,25,Male,Chicago,IL,Silver,Grocery,Paid Search,True,True,0.555,0.744
C00013,2025-08-26 00:00:00,24,Female,Boulder,CO,None,Home,Referral,True,True,0.312,0.386
C00014,2024-02-22 00:00:00,23,Male,Seattle,WA,None,Baby,Affiliate,True,True,0.251,0.454
C00015,2025-09-25 00:00:00,66,Male,New York,NY,None,Sports,Paid Social,True,True,0.251,0.411
C00016,2024-06-26 00:00:00,68,Male,Boulder,CO,Platinum,Electronics,Organic Search,True,False,0.466,0.649
C00017,2024-09-29 00:00:00,35,Prefer not to say,Orlando,FL,Platinum,Beauty,Organic Search,True,False,0.472,0.673
C00018,2026-01-22 00:00:00,20,Male,Naperville,IL,None,Electronics,Affiliate,True,False,0.106,0.796
C00019,2024-07-04 00:00:00,66,Female,Raleigh,NC,Silver,Baby,Organic Search,True,True,0.724,0.433
C00020,2025-02-17 00:00:00,31,Non-binary,Denver,CO,None,Electronics,Paid Social,True,False,0.633,0.432
C00021,2024-05-04 00:00:00,59,Male,San Francisco,CA,None,Pet,Direct,True,False,0.943,0.728
