touch_id,customer_id,campaign_id,channel,send_date,offer_pct,opened,clicked,converted_within_7d,treatment_group,cost
M0000001,C00001,CMP019,Push,2026-04-05 00:00:00,5,False,False,False,Treatment,0.005
M0000002,C00001,CMP016,Paid Search,2026-01-24 00:00:00,20,False,False,False,Treatment,1.2
M0000003,C00001,CMP021,Direct Mail,2025-04-25 00:00:00,15,False,False,False,Treatment,0.72
M0000004,C00001,CMP001,Email,2025-06-15 00:00:00,0,True,False,True,Treatment,0.01
M0000005,C00002,CMP020,Push,2025-12-03 00:00:00,15,False,False,False,Treatment,0.005
M0000006,C00002,CMP009,Paid Search,2025-10-27 00:00:00,20,True,False,False,Control,1.2
M0000007,C00002,CMP023,Affiliate,2025-08-16 00:00:00,15,False,False,False,Treatment,1.5
M0000008,C00002,CMP023,Direct Mail,2025-08-02 00:00:00,20,False,False,True,Treatment,0.72
M0000009,C00002,CMP022,Affiliate,2026-01-22 00:00:00,5,False,False,False,Treatment,1.5
M0000010,C00002,CMP013,Paid Search,2026-06-19 00:00:00,25,False,False,False,Treatment,1.2
M0000011,C00002,CMP002,Push,2026-06-28 00:00:00,20,False,False,False,Control,0.005
M0000012,C00002,CMP024,Email,2026-01-18 00:00:00,20,False,False,False,Treatment,0.01
M0000013,C00003,CMP014,Push,2025-08-04 00:00:00,5,False,False,False,Treatment,0.005
M0000014,C00003,CMP009,Paid Social,2026-03-06 00:00:00,15,False,False,False,Control,0.85
M0000015,C00003,CMP016,Push,2026-05-02 00:00:00,10,True,False,False,Treatment,0.005
M0000016,C00003,CMP023,Direct Mail,2025-07-09 00:00:00,0,False,False,True,Treatment,0.72
M0000017,C00003,CMP022,Affiliate,2025-11-05 00:00:00,15,True,True,True,Treatment,1.5
M0000018,C00003,CMP019,Affiliate,2026-06-13 00:00:00,0,True,False,False,Treatment,1.5
M0000019,C00003,CMP014,Paid Search,2025-11-27 00:00:00,15,False,False,False,Treatment,1.2
M0000020,C00003,CMP024,Direct Mail,2025-12-05 00:00:00,10,False,False,False,Treatment,0.72
M0000021,C00004,CMP022,Push,2026-01-12 00:00:00,15,True,True,False,Treatment,0.005
M0000022,C00004,CMP019,Email,2026-06-19 00:00:00,5,True,False,False,Treatment,0.01
M0000023,C00004,CMP016,Paid Search,2026-01-18 00:00:00,25,True,False,False,Treatment,1.2
M0000024,C00004,CMP022,Email,2026-06-17 00:00:00,0,True,False,False,Treatment,0.01
M0000025,C00004,CMP010,Direct Mail,2026-04-25 00:00:00,5,False,False,False,Treatment,0.72
M0000026,C00004,CMP003,Paid Search,2026-03-21 00:00:00,15,False,False,False,Treatment,1.2
M0000027,C00004,CMP013,Email,2026-03-19 00:00:00,20,True,False,False,Treatment,0.01
M0000028,C00004,CMP015,Email,2026-02-11 00:00:00,15,False,False,False,Treatment,0.01
M0000029,C00004,CMP003,Paid Search,2026-06-09 00:00:00,0,True,False,False,Treatment,1.2
M0000030,C00004,CMP001,Paid Social,2026-03-09 00:00:00,15,False,False,False,Treatment,0.85
M0000031,C00004,CMP002,Push,2026-03-23 00:00:00,0,True,False,False,Treatment,0.005
M0000032,C00005,CMP023,Affiliate,2026-05-04 00:00:00,25,False,False,False,Treatment,1.5
M0000033,C00005,CMP007,Paid Search,2025-03-30 00:00:00,20,False,False,False,Treatment,1.2
M0000034,C00005,CMP024,Push,2026-02-09 00:00:00,25,False,False,False,Treatment,0.005
M0000035,C00005,CMP006,Affiliate,2025-10-12 00:00:00,15,True,False,False,Treatment,1.5
M0000036,C00005,CMP016,Affiliate,2025-12-23 00:00:00,15,False,False,False,Treatment,1.5
M0000037,C00005,CMP016,Paid Search,2026-01-10 00:00:00,25,True,False,False,Treatment,1.2
M0000038,C00005,CMP013,Direct Mail,2025-08-07 00:00:00,20,False,False,False,Treatment,0.72
M0000039,C00005,CMP022,Paid Search,2025-05-11 00:00:00,15,True,False,True,Treatment,1.2
M0000040,C00005,CMP005,Push,2025-10-13 00:00:00,0,False,False,False,Treatment,0.005
M0000041,C00006,CMP003,Paid Social,2025-06-18 00:00:00,15,False,False,True,Treatment,0.85
M0000042,C00006,CMP005,Affiliate,2026-06-12 00:00:00,15,True,True,True,Treatment,1.5
M0000043,C00006,CMP024,Affiliate,2025-02-08 00:00:00,25,True,False,False,Treatment,1.5
M0000044,C00006,CMP020,Email,2026-01-28 00:00:00,10,True,False,False,Treatment,0.01
M0000045,C00006,CMP005,Direct Mail,2025-07-14 00:00:00,10,False,False,False,Treatment,0.72
M0000046,C00006,CMP022,Affiliate,2025-10-27 00:00:00,15,True,True,False,Treatment,1.5
M0000047,C00006,CMP008,Affiliate,2025-05-01 00:00:00,25,False,False,False,Treatment,1.5
M0000048,C00006,CMP012,Push,2025-12-01 00:00:00,20,True,False,False,Treatment,0.005
M0000049,C00006,CMP010,Paid Search,2025-06-17 00:00:00,20,False,False,False,Treatment,1.2
M0000050,C00006,CMP014,Paid Social,2025-05-10 00:00:00,25,True,True,False,Treatment,0.85
M0000051,C00006,CMP025,Paid Search,2025-12-04 00:00:00,20,True,False,False,Treatment,1.2
M0000052,C00007,CMP018,Direct Mail,2025-09-06 00:00:00,25,False,False,True,Treatment,0.72
M0000053,C00007,CMP024,Paid Social,2026-03-16 00:00:00,10,True,False,False,Treatment,0.85
M0000054,C00007,CMP004,Email,2026-03-19 00:00:00,10,False,False,False,Treatment,0.01
M0000055,C00007,CMP016,Affiliate,2026-06-29 00:00:00,15,False,False,False,Treatment,1.5
M0000056,C00007,CMP025,Paid Search,2025-06-03 00:00:00,5,True,True,False,Treatment,1.2
M0000057,C00007,CMP025,Paid Social,2025-11-21 00:00:00,25,True,False,False,Treatment,0.85
M0000058,C00007,CMP014,Push,2025-04-22 00:00:00,10,True,False,False,Control,0.005
M0000059,C00007,CMP023,Paid Social,2025-04-01 00:00:00,5,False,False,False,Treatment,0.85
M0000060,C00007,CMP007,Affiliate,2025-03-03 00:00:00,10,True,False,True,Treatment,1.5
M0000061,C00007,CMP011,Affiliate,2025-04-09 00:00:00,15,False,False,False,Treatment,1.5
M0000062,C00007,CMP021,Email,2025-02-25 00:00:00,0,False,False,False,Treatment,0.01
M0000063,C00007,CMP021,Push,2026-01-07 00:00:00,0,False,False,False,Treatment,0.005
M0000064,C00007,CMP008,Affiliate,2025-02-24 00:00:00,20,True,False,False,Control,1.5
M0000065,C00007,CMP019,Paid Social,2025-11-03 00:00:00,25,True,False,False,Treatment,0.85
M0000066,C00007,CMP014,Email,2026-04-03 00:00:00,25,True,True,False,Treatment,0.01
