order_item_id,order_id,product_id,quantity,unit_price,discount_amount,line_total
OI0000001,O000001,P0004,1,209.53,45.05,164.48
OI0000002,O000001,P0042,1,60.94,18.31,42.63
OI0000003,O000002,P0051,1,217.19,44.98,172.21
OI0000004,O000003,P0025,1,14.66,3.53,11.13
OI0000005,O000003,P0027,1,233.63,70.88,162.75
OI0000006,O000004,P0006,2,130.77,61.62,199.92
OI0000007,O000005,P0066,1,240.4,39.79,200.61
OI0000008,O000006,P0023,1,295.85,67.83,228.02
OI0000009,O000007,P0040,1,81.1,14.34,66.76
OI0000010,O000008,P0042,1,60.94,7.45,53.49
OI0000011,O000009,P0015,1,143.31,25.4,117.91
OI0000012,O000009,P0026,1,37.29,2.98,34.31
OI0000013,O000009,P0020,1,240.66,51.61,189.05
OI0000014,O000010,P0016,1,262.79,55.73,207.06
OI0000015,O000010,P0065,1,144.28,21.69,122.59
OI0000016,O000011,P0051,2,217.19,64.59,369.79
OI0000017,O000012,P0017,2,131.8,14.21,249.39
OI0000018,O000012,P0062,1,282.36,9.85,272.51
OI0000019,O000013,P0054,1,77.63,17.16,60.47
OI0000020,O000014,P0077,1,233.33,17.17,216.16
OI0000021,O000014,P0027,1,233.63,60.22,173.41
OI0000022,O000015,P0021,1,46.15,10.2,35.95
OI0000023,O000015,P0013,1,296.26,42.13,254.13
OI0000024,O000015,P0008,1,205.45,39.13,166.32
OI0000025,O000016,P0071,1,31.93,3.92,28.01
OI0000026,O000016,P0070,1,185.81,17.52,168.29
OI0000027,O000017,P0044,1,27.45,3.15,24.3
OI0000028,O000017,P0024,1,192.47,40.44,152.03
OI0000029,O000018,P0038,1,159.55,9.07,150.48
OI0000030,O000019,P0077,1,233.33,30.28,203.05
OI0000031,O000020,P0053,1,261.91,57.77,204.14
OI0000032,O000020,P0057,1,199.83,40.88,158.95
OI0000033,O000021,P0014,1,99.57,23.55,76.02
OI0000034,O000021,P0014,1,99.57,23.56,76.01
OI0000035,O000021,P0035,1,148.6,30.71,117.89
OI0000036,O000022,P0057,1,199.83,24.44,175.39
OI0000037,O000022,P0033,1,192.42,39.53,152.89
OI0000038,O000023,P0066,3,240.4,118.29,602.91
OI0000039,O000023,P0066,2,240.4,107.44,373.36
OI0000040,O000024,P0075,1,111.93,31.64,80.29
OI0000041,O000025,P0003,1,199.95,54.69,145.26
OI0000042,O000025,P0070,1,185.81,41.64,144.17
OI0000043,O000026,P0059,1,315.43,54.64,260.79
OI0000044,O000027,P0008,1,205.45,30.59,174.86
OI0000045,O000027,P0005,1,103.03,29.38,73.65
OI0000046,O000028,P0079,1,58.4,6.24,52.16
OI0000047,O000028,P0033,1,192.42,10.96,181.46
OI0000048,O000029,P0054,1,77.63,6.26,71.37
OI0000049,O000029,P0050,1,308.71,33.76,274.95
OI0000050,O000030,P0058,2,207.22,23.89,390.55
OI0000051,O000031,P0063,1,138.83,19.03,119.8
OI0000052,O000032,P0076,1,159.09,7.71,151.38
OI0000053,O000032,P0048,1,164.37,27.58,136.79
OI0000054,O000033,P0063,1,138.83,16.66,122.17
OI0000055,O000034,P0040,1,81.1,5.81,75.29
OI0000056,O000035,P0057,2,199.83,11.86,387.8
OI0000057,O000036,P0028,1,337.81,38.23,299.58
OI0000058,O000036,P0033,1,192.42,36.52,155.9
OI0000059,O000037,P0039,1,339.4,44.71,294.69
OI0000060,O000038,P0004,1,209.53,18.04,191.49
OI0000061,O000038,P0037,1,55.94,2.92,53.02
OI0000062,O000038,P0012,1,100.32,6.88,93.44
OI0000063,O000039,P0049,1,33.06,1.8,31.26
OI0000064,O000040,P0002,1,209.95,39.63,170.32
OI0000065,O000040,P0016,1,262.79,54.0,208.79
OI0000066,O000041,P0074,1,239.64,36.5,203.14
OI0000067,O000041,P0029,1,348.34,57.71,290.63
OI0000068,O000041,P0068,1,126.22,22.31,103.91
OI0000069,O000042,P0027,1,233.63,25.78,207.85
OI0000070,O000042,P0077,1,233.33,23.52,209.81
OI0000071,O000043,P0053,1,261.91,25.82,236.09
OI0000072,O000044,P0034,1,284.16,58.51,225.65
OI0000073,O000044,P0015,1,143.31,38.84,104.47
OI0000074,O000045,P0059,1,315.43,57.53,257.9
OI0000075,O000046,P0068,1,126.22,19.78,106.44
OI0000076,O000047,P0077,1,233.33,40.43,192.9
OI0000077,O000047,P0050,1,308.71,51.15,257.56
OI0000078,O000048,P0072,1,254.16,33.14,221.02
OI0000079,O000049,P0044,1,27.45,3.23,24.22
OI0000080,O000049,P0065,1,144.28,25.57,118.71
OI0000081,O000050,P0077,1,233.33,35.46,197.87
OI0000082,O000051,P0054,1,77.63,2.36,75.27
OI0000083,O000052,P0077,1,233.33,24.91,208.42
OI0000084,O000053,P0036,1,28.73,4.21,24.52
OI0000085,O000054,P0044,1,27.45,4.5,22.95
OI0000086,O000055,P0027,1,233.63,54.75,178.88
OI0000087,O000056,P0057,2,199.83,61.92,337.74
OI0000088,O000057,P0056,1,225.89,5.13,220.76
OI0000089,O000057,P0061,1,309.44,68.7,240.74
OI0000090,O000058,P0065,1,144.28,8.19,136.09
OI0000091,O000059,P0009,1,344.95,69.26,275.69
OI0000092,O000060,P0070,1,185.81,14.52,171.29
OI0000093,O000060,P0061,2,309.44,104.19,514.69
OI0000094,O000061,P0053,1,261.91,28.49,233.42
OI0000095,O000062,P0077,1,233.33,9.61,223.72
OI0000096,O000063,P0055,2,39.57,14.05,65.09
OI0000097,O000063,P0003,1,199.95,3.86,196.09
OI0000098,O000064,P0065,1,144.28,27.91,116.37
OI0000099,O000064,P0065,1,144.28,24.22,120.06
OI0000100,O000065,P0037,1,55.94,8.72,47.22
OI0000101,O000066,P0005,1,103.03,11.28,91.75
OI0000102,O000067,P0054,1,77.63,20.01,57.62
OI0000103,O000068,P0025,1,14.66,3.12,11.54
