order_id,customer_id,order_date,channel,device,subtotal,discount_amount,shipping_amount,tax_amount,order_total,payment_type,order_status
O000209,C00053,2024-02-11 00:00:00,Web,Mobile,1003.42,181.4,0,61.65,883.67,Apple Pay,Completed
O000037,C00014,2024-03-28 00:00:00,App,Mobile,339.4,44.71,0,22.1,316.79,Apple Pay,Returned
O000445,C00112,2024-03-30 00:00:00,Web,Mobile,144.28,17.78,0,9.49,135.99,Apple Pay,Completed
O000694,C00168,2024-04-04 00:00:00,Web,Mobile,383.97,13.49,0,27.79,398.27,Gift Card,Completed
O000171,C00045,2024-04-07 00:00:00,App,Desktop,60.94,3.83,0,4.28,61.39,Credit Card,Completed
O000665,C00164,2024-04-09 00:00:00,App,Desktop,678.83,45.81,0,47.48,680.5,PayPal,Completed
O000577,C00141,2024-04-11 00:00:00,Web,Tablet,348.34,36.47,0,23.39,335.26,Apple Pay,Completed
O000805,C00195,2024-04-13 00:00:00,Web,Mobile,796.51,91.02,0,52.91,758.4,PayPal,Completed
O000639,C00157,2024-04-19 00:00:00,Web,Desktop,525.58,59.32,0,34.97,501.23,Gift Card,Completed
O000415,C00105,2024-04-20 00:00:00,Web,Desktop,54.9,7.63,6.99,3.55,57.81,Apple Pay,Completed
O000231,C00054,2024-04-24 00:00:00,App,Mobile,317.0,19.64,0,22.3,319.66,PayPal,Completed
O000222,C00054,2024-04-28 00:00:00,App,Mobile,1396.5,209.82,0,89.0,1275.68,Apple Pay,Completed
O000261,C00062,2024-05-03 00:00:00,App,Tablet,192.42,20.33,0,12.91,185.0,Gift Card,Completed
O000610,C00152,2024-05-03 00:00:00,Web,Desktop,399.12,53.93,0,25.89,371.08,Gift Card,Completed
O000259,C00062,2024-05-08 00:00:00,Web,Mobile,852.48,42.26,0,60.77,870.99,Apple Pay,Completed
O000033,C00014,2024-05-11 00:00:00,Web,Tablet,138.83,16.66,0,9.16,131.33,PayPal,Completed
O000070,C00021,2024-05-15 00:00:00,App,Desktop,164.37,37.09,0,9.55,136.83,Gift Card,Completed
O000124,C00030,2024-05-18 00:00:00,App,Mobile,192.42,36.12,0,11.72,168.02,Apple Pay,Completed
O000690,C00168,2024-05-21 00:00:00,Web,Desktop,207.22,16.18,0,14.33,205.37,Apple Pay,Completed
O000717,C00171,2024-05-28 00:00:00,Web,Desktop,371.62,68.19,0,22.76,326.19,Apple Pay,Completed
O000109,C00027,2024-06-10 00:00:00,App,Mobile,681.47,94.34,0,44.03,631.16,Apple Pay,Completed
O000715,C00171,2024-06-10 00:00:00,App,Desktop,263.81,50.82,0,15.97,228.96,Gift Card,Completed
O000221,C00053,2024-06-17 00:00:00,Web,Desktop,268.96,26.63,0,18.17,260.5,Credit Card,Completed
O000235,C00054,2024-06-17 00:00:00,Web,Mobile,577.41,41.36,0,40.2,576.25,Apple Pay,Completed
O000706,C00171,2024-06-21 00:00:00,Web,Mobile,46.15,5.99,0,3.01,43.17,PayPal,Completed
O000122,C00030,2024-06-26 00:00:00,App,Mobile,84.85,15.81,0,5.18,74.22,Gift Card,Completed
O000210,C00053,2024-06-27 00:00:00,Web,Desktop,205.45,11.74,0,14.53,208.24,PayPal,Completed
O000709,C00171,2024-06-29 00:00:00,App,Desktop,240.66,18.27,0,16.68,239.07,Gift Card,Completed
O000206,C00052,2024-06-30 00:00:00,App,Tablet,919.04,105.6,0,61.01,874.45,Gift Card,Completed
O000416,C00105,2024-06-30 00:00:00,App,Tablet,233.33,32.26,0,15.08,216.15,Gift Card,Returned
O000616,C00154,2024-06-30 00:00:00,Web,Tablet,81.1,12.58,0,5.14,73.66,PayPal,Completed
O000622,C00157,2024-07-01 00:00:00,App,Mobile,137.72,3.91,0,10.04,143.85,Gift Card,Completed
O000814,C00197,2024-07-01 00:00:00,App,Tablet,492.84,75.43,0,31.31,448.72,PayPal,Completed
O000135,C00035,2024-07-08 00:00:00,Web,Desktop,39.57,7.55,6.99,2.4,41.41,Gift Card,Returned
O000447,C00112,2024-07-08 00:00:00,App,Tablet,326.66,37.77,0,21.67,310.56,PayPal,Completed
O000607,C00152,2024-07-08 00:00:00,App,Desktop,69.07,19.82,6.99,3.69,59.93,Gift Card,Completed
O000773,C00188,2024-07-14 00:00:00,Web,Desktop,192.47,45.63,0,11.01,157.85,Gift Card,Completed
O000219,C00053,2024-07-17 00:00:00,Web,Mobile,335.97,28.2,0,23.08,330.85,Gift Card,Completed
O000621,C00157,2024-07-19 00:00:00,Web,Tablet,63.63,5.56,0,4.36,62.43,Gift Card,Completed
O000485,C00122,2024-07-20 00:00:00,App,Tablet,103.03,11.16,0,6.89,98.76,Gift Card,Completed
O000406,C00100,2024-07-22 00:00:00,App,Tablet,116.8,6.88,0,8.24,118.16,Gift Card,Completed
O000217,C00053,2024-07-24 00:00:00,Web,Tablet,566.31,86.34,0,36.0,515.97,Apple Pay,Completed
O000205,C00052,2024-07-30 00:00:00,App,Tablet,225.89,21.35,0,15.34,219.88,Credit Card,Completed
O000229,C00054,2024-08-02 00:00:00,App,Tablet,309.44,13.94,0,22.16,317.66,Gift Card,Completed
O000201,C00051,2024-08-10 00:00:00,Web,Mobile,675.62,77.57,0,44.85,642.9,Gift Card,Completed
O000214,C00053,2024-08-11 00:00:00,App,Mobile,92.3,7.28,0,6.38,91.4,Apple Pay,Completed
O000531,C00133,2024-08-12 00:00:00,App,Tablet,63.63,14.19,6.99,3.71,60.14,Gift Card,Completed
O000384,C00095,2024-08-13 00:00:00,App,Mobile,159.55,28.47,0,9.83,140.91,PayPal,Completed
O000623,C00157,2024-08-15 00:00:00,App,Tablet,609.97,53.77,0,41.72,597.92,Gift Card,Completed
O000372,C00092,2024-08-17 00:00:00,App,Mobile,309.44,56.0,0,19.01,272.45,Apple Pay,Completed
O000824,C00198,2024-08-18 00:00:00,App,Mobile,31.93,3.48,0,2.13,30.58,Gift Card,Completed
O000120,C00030,2024-08-28 00:00:00,App,Mobile,302.0,28.98,0,20.48,293.5,Credit Card,Completed
