product_id,category,brand,list_price,unit_cost,margin_pct,launch_date,is_subscription_eligible
P0001,Home,HomBrand1,16.55,11.57,0.301,2024-05-22 00:00:00,False
P0002,Home,HomBrand1,209.95,169.22,0.194,2024-08-11 00:00:00,False
P0003,Electronics,EleBrand3,199.95,100.97,0.495,2025-07-12 00:00:00,False
P0004,Baby,BabBrand1,209.53,97.22,0.536,2024-06-12 00:00:00,False
P0005,Grocery,GroBrand2,103.03,74.7,0.275,2024-04-14 00:00:00,True
P0006,Home,HomBrand2,130.77,87.49,0.331,2024-02-14 00:00:00,False
P0007,Home,HomBrand3,340.81,222.55,0.347,2024-10-27 00:00:00,False
P0008,Grocery,GroBrand1,205.45,104.78,0.49,2025-11-08 00:00:00,True
P0009,Apparel,AppBrand1,344.95,153.16,0.556,2025-01-24 00:00:00,False
P0010,Grocery,GroBrand3,63.63,42.25,0.336,2024-09-30 00:00:00,False
P0011,Home,HomBrand3,216.32,161.16,0.255,2024-09-07 00:00:00,False
P0012,Sports,SpoBrand3,100.32,41.43,0.587,2025-07-24 00:00:00,False
P0013,Grocery,GroBrand1,296.26,141.91,0.521,2024-02-02 00:00:00,False
P0014,Sports,SpoBrand3,99.57,72.39,0.273,2024-11-18 00:00:00,False
P0015,Baby,BabBrand2,143.31,59.9,0.582,2024-05-26 00:00:00,True
P0016,Pet,PetBrand3,262.79,153.21,0.417,2025-08-21 00:00:00,True
P0017,Sports,SpoBrand1,131.8,50.22,0.619,2025-06-05 00:00:00,False
P0018,Electronics,EleBrand1,302.5,227.78,0.247,2025-11-27 00:00:00,False
P0019,Home,HomBrand2,139.59,77.89,0.442,2025-06-25 00:00:00,False
P0020,Electronics,EleBrand3,240.66,185.31,0.23,2024-09-30 00:00:00,False
P0021,Grocery,GroBrand2,46.15,29.03,0.371,2024-01-04 00:00:00,False
P0022,Apparel,AppBrand3,340.39,165.09,0.515,2024-04-18 00:00:00,False
P0023,Apparel,AppBrand1,295.85,176.62,0.403,2024-06-05 00:00:00,False
P0024,Beauty,BeaBrand3,192.47,91.81,0.523,2024-01-01 00:00:00,False
P0025,Baby,BabBrand2,14.66,6.03,0.589,2024-09-02 00:00:00,True
P0026,Home,HomBrand1,37.29,22.6,0.394,2025-06-29 00:00:00,False
