ticket_id,customer_id,created_date,issue_type,channel,resolution_hours,csat_score,resolved
T000001,C00002,2026-05-09 00:00:00,Delivery,Email,9.0,5,True
T000002,C00016,2026-03-29 00:00:00,Product Quality,Phone,11.6,2,True
T000003,C00017,2024-11-28 00:00:00,Product Quality,Phone,35.2,4,True
T000004,C00017,2024-12-31 00:00:00,Payment,Phone,7.4,5,True
T000005,C00021,2026-01-21 00:00:00,Payment,Email,10.1,3,True
T000006,C00022,2025-03-05 00:00:00,Delivery,Phone,9.7,5,True
T000007,C00024,2025-06-27 00:00:00,Product Quality,Email,5.9,4,True
T000008,C00025,2025-10-25 00:00:00,Return,Chat,3.4,4,True
T000009,C00026,2025-03-03 00:00:00,Return,Email,8.8,4,True
T000010,C00027,2025-12-15 00:00:00,Return,Phone,8.2,5,True
T000011,C00029,2025-01-31 00:00:00,Subscription,Phone,4.4,4,True
T000012,C00033,2026-03-13 00:00:00,Payment,Chat,7.0,4,True
T000013,C00040,2025-09-01 00:00:00,Subscription,Email,5.2,3,True
T000014,C00041,2025-06-29 00:00:00,Account,Phone,4.6,3,True
T000015,C00048,2025-03-06 00:00:00,Return,Chat,6.9,4,True
T000016,C00048,2026-03-04 00:00:00,Product Quality,Email,14.0,5,True
T000017,C00050,2025-11-11 00:00:00,Payment,Chat,5.2,5,True
T000018,C00051,2024-06-16 00:00:00,Subscription,Chat,42.7,4,True
T000019,C00053,2026-06-22 00:00:00,Product Quality,Email,6.9,5,True
T000020,C00053,2025-10-02 00:00:00,Product Quality,Chat,7.2,4,True
T000021,C00054,2024-09-03 00:00:00,Account,Email,10.7,5,True
T000022,C00056,2026-01-01 00:00:00,Subscription,Email,13.7,5,True
T000023,C00062,2024-07-28 00:00:00,Payment,Chat,7.7,4,True
T000024,C00069,2025-02-21 00:00:00,Payment,Chat,18.2,3,True
T000025,C00082,2025-11-04 00:00:00,Subscription,Chat,3.3,4,True
T000026,C00085,2026-02-02 00:00:00,Payment,Chat,9.7,4,True
T000027,C00086,2024-09-28 00:00:00,Delivery,Phone,23.0,4,True
T000028,C00112,2025-11-02 00:00:00,Return,Email,10.6,5,True
T000029,C00120,2026-06-16 00:00:00,Account,Email,5.0,3,True
T000030,C00123,2024-11-03 00:00:00,Payment,Chat,3.1,4,True
T000031,C00125,2026-01-16 00:00:00,Delivery,Chat,14.2,5,True
T000032,C00131,2026-06-09 00:00:00,Product Quality,Phone,4.8,4,True
T000033,C00134,2026-03-25 00:00:00,Delivery,Chat,3.2,5,True
T000034,C00135,2025-03-10 00:00:00,Product Quality,Chat,4.7,4,True
T000035,C00141,2024-08-20 00:00:00,Delivery,Email,6.1,4,True
T000036,C00148,2025-07-31 00:00:00,Product Quality,Email,18.8,4,True
T000037,C00152,2025-09-09 00:00:00,Subscription,Email,6.2,5,True
T000038,C00154,2025-05-07 00:00:00,Return,Chat,6.7,4,True
T000039,C00157,2025-10-19 00:00:00,Return,Chat,18.1,4,True
T000040,C00157,2026-04-09 00:00:00,Return,Email,9.1,4,True
T000041,C00158,2025-05-07 00:00:00,Subscription,Email,5.2,5,True
T000042,C00160,2025-10-23 00:00:00,Delivery,Email,14.0,3,True
T000043,C00162,2025-06-13 00:00:00,Payment,Chat,21.6,4,True
T000044,C00164,2024-11-22 00:00:00,Delivery,Email,12.2,3,True
T000045,C00171,2025-11-11 00:00:00,Account,Phone,12.0,5,True
T000046,C00172,2025-07-12 00:00:00,Subscription,Phone,6.5,3,True
T000047,C00183,2025-10-24 00:00:00,Product Quality,Email,3.5,5,True
T000048,C00185,2026-06-10 00:00:00,Subscription,Email,10.0,3,True
T000049,C00185,2026-04-28 00:00:00,Payment,Chat,7.2,4,True
T000050,C00185,2025-11-30 00:00:00,Account,Email,2.7,5,True
T000051,C00189,2025-10-18 00:00:00,Subscription,Phone,6.6,5,True
T000052,C00189,2025-10-09 00:00:00,Return,Email,4.0,4,True
T000053,C00190,2025-07-22 00:00:00,Payment,Phone,15.3,4,True
T000054,C00197,2026-01-11 00:00:00,Return,Phone,11.2,4,True
T000055,C00200,2025-09-19 00:00:00,Subscription,Phone,9.8,5,True
