event_id,customer_id,session_id,event_timestamp,event_type,page,product_id,device,referrer
E00000001,C00001,S0000001,2025-05-23 20:27:07,page_view,Home,,Mobile,Affiliate
E00000002,C00001,S0000001,2025-05-23 20:27:51,search,Search,,Mobile,Affiliate
E00000003,C00001,S0000001,2025-05-23 20:28:14,page_view,Category,,Mobile,Affiliate
E00000004,C00001,S0000001,2025-05-23 20:30:36,product_view,Product,P0027,Mobile,Affiliate
E00000005,C00001,S0000002,2025-09-22 04:40:07,page_view,Home,,Desktop,Facebook
E00000006,C00001,S0000002,2025-09-22 04:40:35,search,Search,,Desktop,Facebook
E00000007,C00001,S0000002,2025-09-22 04:41:46,add_to_cart,Cart,P0061,Desktop,Facebook
E00000008,C00001,S0000002,2025-09-22 04:44:17,checkout_start,Checkout,P0024,Desktop,Facebook
E00000009,C00001,S0000002,2025-09-22 04:45:53,purchase,Checkout,P0061,Desktop,Facebook
E00000010,C00001,S0000003,2025-05-03 09:29:12,page_view,Home,,Desktop,Direct
E00000011,C00001,S0000003,2025-05-03 09:31:27,search,Search,,Desktop,Direct
E00000012,C00001,S0000004,2025-08-26 05:05:59,page_view,Home,,Desktop,Facebook
E00000013,C00001,S0000004,2025-08-26 05:08:48,search,Search,,Desktop,Facebook
E00000014,C00001,S0000004,2025-08-26 05:10:51,page_view,Category,,Desktop,Facebook
E00000015,C00001,S0000004,2025-08-26 05:11:19,product_view,Product,P0056,Desktop,Facebook
E00000016,C00001,S0000004,2025-08-26 05:14:33,review_view,Reviews,P0077,Desktop,Facebook
E00000017,C00001,S0000004,2025-08-26 05:17:02,add_to_cart,Cart,P0024,Desktop,Facebook
E00000018,C00001,S0000005,2025-12-23 16:47:08,page_view,Home,,Desktop,Direct
E00000019,C00001,S0000005,2025-12-23 16:50:33,search,Search,,Desktop,Direct
E00000020,C00001,S0000006,2025-02-08 00:59:58,page_view,Home,,Desktop,Affiliate
E00000021,C00001,S0000006,2025-02-08 01:00:29,search,Search,,Desktop,Affiliate
E00000022,C00001,S0000006,2025-02-08 01:02:01,page_view,Category,,Desktop,Affiliate
E00000023,C00001,S0000006,2025-02-08 01:02:53,product_view,Product,P0077,Desktop,Affiliate
E00000024,C00001,S0000006,2025-02-08 01:06:29,review_view,Reviews,P0077,Desktop,Affiliate
E00000025,C00001,S0000007,2025-04-21 03:04:00,page_view,Home,,Desktop,Instagram
E00000026,C00001,S0000007,2025-04-21 03:07:58,search,Search,,Desktop,Instagram
E00000027,C00001,S0000007,2025-04-21 03:10:25,page_view,Category,,Desktop,Instagram
E00000028,C00001,S0000007,2025-04-21 03:13:20,product_view,Product,P0044,Desktop,Instagram
E00000029,C00001,S0000007,2025-04-21 03:13:44,review_view,Reviews,P0077,Desktop,Instagram
E00000030,C00001,S0000008,2025-02-23 05:29:30,page_view,Home,,Desktop,Email
E00000031,C00001,S0000008,2025-02-23 05:32:25,search,Search,,Desktop,Email
E00000032,C00001,S0000008,2025-02-23 05:33:49,page_view,Category,,Desktop,Email
E00000033,C00001,S0000008,2025-02-23 05:37:11,product_view,Product,P0044,Desktop,Email
E00000034,C00001,S0000008,2025-02-23 05:38:27,review_view,Reviews,P0027,Desktop,Email
E00000035,C00001,S0000008,2025-02-23 05:38:58,add_to_cart,Cart,P0061,Desktop,Email
E00000036,C00001,S0000009,2025-06-28 21:54:54,page_view,Home,,Mobile,Facebook
E00000037,C00001,S0000009,2025-06-28 21:55:23,search,Search,,Mobile,Facebook
E00000038,C00001,S0000009,2025-06-28 21:56:11,page_view,Category,,Mobile,Facebook
E00000039,C00001,S0000009,2025-06-28 21:57:05,product_view,Product,P0044,Mobile,Facebook
E00000040,C00001,S0000009,2025-06-28 21:59:23,review_view,Reviews,P0061,Mobile,Facebook
E00000041,C00001,S0000010,2025-03-12 11:26:32,page_view,Home,,Mobile,Direct
E00000042,C00001,S0000010,2025-03-12 11:29:15,search,Search,,Mobile,Direct
E00000043,C00001,S0000010,2025-03-12 11:29:37,page_view,Category,,Mobile,Direct
E00000044,C00001,S0000010,2025-03-12 11:29:47,add_to_cart,Cart,P0077,Mobile,Direct
E00000045,C00001,S0000010,2025-03-12 11:31:03,checkout_start,Checkout,P0027,Mobile,Direct
E00000046,C00001,S0000010,2025-03-12 11:32:49,purchase,Checkout,P0044,Mobile,Direct
E00000047,C00001,S0000011,2026-01-12 03:15:30,page_view,Home,,Mobile,Instagram
E00000048,C00001,S0000011,2026-01-12 03:18:04,search,Search,,Mobile,Instagram
E00000049,C00001,S0000011,2026-01-12 03:18:45,page_view,Category,,Mobile,Instagram
E00000050,C00002,S0000012,2025-11-23 15:03:53,page_view,Home,,Mobile,Bing
E00000051,C00002,S0000013,2026-06-29 01:50:18,page_view,Home,,Desktop,Instagram
E00000052,C00002,S0000013,2026-06-29 01:50:38,search,Search,,Desktop,Instagram
E00000053,C00002,S0000013,2026-06-29 01:53:09,page_view,Category,,Desktop,Instagram
E00000054,C00002,S0000014,2025-08-15 22:49:11,page_view,Home,,Mobile,Facebook
E00000055,C00002,S0000014,2025-08-15 22:51:58,search,Search,,Mobile,Facebook
E00000056,C00002,S0000014,2025-08-15 22:54:30,page_view,Category,,Mobile,Facebook
E00000057,C00002,S0000014,2025-08-15 22:56:37,product_view,Product,P0040,Mobile,Facebook
E00000058,C00002,S0000015,2025-08-03 22:44:58,page_view,Home,,Desktop,Facebook
E00000059,C00002,S0000015,2025-08-03 22:45:40,search,Search,,Desktop,Facebook
E00000060,C00002,S0000015,2025-08-03 22:46:06,page_view,Category,,Desktop,Facebook
E00000061,C00002,S0000015,2025-08-03 22:46:31,product_view,Product,P0037,Desktop,Facebook
E00000062,C00002,S0000015,2025-08-03 22:50:06,review_view,Reviews,P0004,Desktop,Facebook
E00000063,C00002,S0000016,2025-09-26 14:18:56,page_view,Home,,Desktop,Facebook
E00000064,C00002,S0000016,2025-09-26 14:19:07,search,Search,,Desktop,Facebook
E00000065,C00002,S0000017,2025-12-06 22:48:46,page_view,Home,,Desktop,Facebook
E00000066,C00002,S0000017,2025-12-06 22:51:03,search,Search,,Desktop,Facebook
E00000067,C00002,S0000017,2025-12-06 22:54:58,page_view,Category,,Desktop,Facebook
E00000068,C00002,S0000017,2025-12-06 22:56:11,product_view,Product,P0076,Desktop,Facebook
E00000069,C00002,S0000017,2025-12-06 22:57:10,review_view,Reviews,P0042,Desktop,Facebook
E00000070,C00002,S0000018,2025-10-30 19:14:34,page_view,Home,,Mobile,Affiliate
E00000071,C00002,S0000018,2025-10-30 19:15:20,search,Search,,Mobile,Affiliate
E00000072,C00002,S0000018,2025-10-30 19:18:28,page_view,Category,,Mobile,Affiliate
E00000073,C00002,S0000018,2025-10-30 19:20:20,product_view,Product,P0037,Mobile,Affiliate
E00000074,C00002,S0000018,2025-10-30 19:23:35,review_view,Reviews,P0025,Mobile,Affiliate
E00000075,C00002,S0000019,2026-04-19 20:49:07,page_view,Home,,Mobile,Bing
