feature,coefficient,abs_coef
numeric__days_since_last_purchase,260,260
numeric__tenure_days,181,181
numeric__avg_order_value,166,166
numeric__avg_discount,152,152
numeric__total_discount,134,134
numeric__price_sensitivity_score,133,133
numeric__avg_session_minutes,108,108
numeric__revenue_180d,90,90
numeric__avg_events_per_session,86,86
numeric__revenue_90d,78,78
numeric__days_since_last_session,75,75
numeric__purchase_span_days,70,70
numeric__avg_offer_pct,70,70
numeric__revenue_30d,67,67
categorical__loyalty_tier_Unknown,59,59
numeric__lifetime_revenue,58,58
numeric__marketing_cost,58,58
numeric__sessions_lifetime,52,52
numeric__open_rate,51,51
numeric__age,50,50
categorical__favorite_category_by_spend_Grocery,49,49
numeric__digital_engagement_score,46,46
numeric__marketing_conversion_rate,44,44
numeric__product_view_sessions,42,42
numeric__lifetime_orders,38,38
numeric__marketing_touches,38,38
numeric__favorite_category_spend,36,36
numeric__orders_per_active_month,36,36
numeric__orders_180d,35,35
numeric__session_conversion_rate,34,34
categorical__preferred_category_Beauty,32,32
numeric__avg_resolution_hours,29,29
categorical__favorite_category_by_spend_Beauty,20,20
numeric__support_tickets,19,19
numeric__click_rate,19,19
categorical__state_FL,18,18
categorical__state_NC,14,14
categorical__acquisition_channel_Direct,14,14
numeric__email_opens,14,14
categorical__acquisition_channel_Organic Search,13,13
categorical__favorite_category_by_spend_Sports,13,13
numeric__marketing_clicks,13,13
categorical__state_NY,11,11
categorical__loyalty_tier_Platinum,10,10
categorical__state_IL,10,10
numeric__review_view_sessions,10,10
categorical__loyalty_tier_Silver,9,9
categorical__gender_Prefer not to say,8,8
numeric__orders_90d,8,8
categorical__city_New York,7,7
categorical__acquisition_channel_Referral,7,7
categorical__state_WA,7,7
numeric__push_opt_in,7,7
numeric__cart_to_purchase_rate,6,6
numeric__categories_purchased,6,6
numeric__cart_sessions,6,6
categorical__favorite_category_by_spend_Apparel,5,5
categorical__preferred_category_Baby,5,5
categorical__city_Chicago,5,5
categorical__city_Houston,5,5
categorical__city_Scottsdale,5,5
categorical__preferred_category_Sports,5,5
categorical__state_AZ,4,4
categorical__city_Seattle,4,4
categorical__city_Naperville,4,4
numeric__checkout_sessions,3,3
categorical__acquisition_channel_Affiliate,3,3
categorical__preferred_category_Electronics,3,3
categorical__favorite_category_by_spend_Baby,3,3
categorical__preferred_category_Home,2,2
categorical__gender_Female,2,2
categorical__acquisition_channel_Paid Search,2,2
numeric__is_new_customer,2,2
numeric__email_opt_in,2,2
numeric__orders_30d,1,1
categorical__city_Boulder,1,1
categorical__preferred_category_Pet,1,1
numeric__marketing_conversions_7d,1,1
categorical__city_Miami,1,1
categorical__state_TX,1,1
categorical__favorite_category_by_spend_Home,1,1
categorical__loyalty_tier_Gold,1,1
categorical__city_Phoenix,1,1
categorical__city_Buffalo,1,1
categorical__preferred_category_Grocery,0,0
categorical__favorite_category_by_spend_Electronics,0,0
categorical__favorite_category_by_spend_Pet,0,0
categorical__acquisition_channel_Paid Social,0,0
numeric__web_purchase_sessions,0,0
categorical__preferred_category_Apparel,0,0
categorical__state_MA,0,0
numeric__avg_csat,0,0
numeric__unresolved_tickets,0,0
categorical__gender_Male,0,0
categorical__gender_Non-binary,0,0
categorical__city_Austin,0,0
categorical__city_Boston,0,0
categorical__city_Cambridge,0,0
categorical__city_Charlotte,0,0
categorical__city_Dallas,0,0
categorical__city_Denver,0,0
categorical__city_Los Angeles,0,0
categorical__city_Orlando,0,0
categorical__city_Raleigh,0,0
categorical__city_San Francisco,0,0
categorical__city_San Jose,0,0
categorical__city_Tacoma,0,0
categorical__state_CA,0,0
categorical__state_CO,0,0
