feature,coefficient,abs_coef
numeric__avg_discount,2.3047541408637287,2.3047541408637287
categorical__loyalty_tier_Unknown,2.130498253350183,2.130498253350183
categorical__city_San Francisco,1.8449085535554008,1.8449085535554008
numeric__avg_session_minutes,-1.6808935600281594,1.6808935600281594
categorical__city_Seattle,1.6615125537152047,1.6615125537152047
categorical__preferred_category_Beauty,1.5796224605265807,1.5796224605265807
categorical__state_IL,1.5281018799256185,1.5281018799256185
categorical__favorite_category_by_spend_Sports,-1.5078463085016673,1.5078463085016673
categorical__preferred_category_Home,-1.4472531308924406,1.4472531308924406
categorical__city_Tacoma,-1.4298148181979793,1.4298148181979793
categorical__city_Houston,1.3596596228992825,1.3596596228992825
categorical__state_NC,-1.3193650372615064,1.3193650372615064
numeric__lifetime_orders,1.2798504780761644,1.2798504780761644
categorical__city_San Jose,-1.2637996316134692,1.2637996316134692
categorical__city_Chicago,1.25440195568758,1.25440195568758
categorical__favorite_category_by_spend_Grocery,1.2322198514201281,1.2322198514201281
categorical__loyalty_tier_Platinum,-1.22608656958732,1.22608656958732
numeric__support_tickets,-1.1854896886230375,1.1854896886230375
categorical__state_FL,-1.1082259060122817,1.1082259060122817
numeric__total_discount,-1.093503378736119,1.093503378736119
categorical__city_Cambridge,1.0456467895480528,1.0456467895480528
categorical__city_Charlotte,-0.9654058618816496,0.9654058618816496
categorical__city_Phoenix,-0.9177913185535326,0.9177913185535326
categorical__preferred_category_Electronics,-0.9141161399269471,0.9141161399269471
numeric__avg_order_value,-0.9080995704636233,0.9080995704636233
numeric__email_opens,0.8857614715476537,0.8857614715476537
categorical__favorite_category_by_spend_Beauty,0.8727938357219317,0.8727938357219317
numeric__days_since_last_purchase,-0.8604119309367599,0.8604119309367599
categorical__acquisition_channel_Organic Search,0.850896098957541,0.850896098957541
categorical__loyalty_tier_Gold,-0.8113214207131249,0.8113214207131249
categorical__favorite_category_by_spend_Electronics,0.8086726643803607,0.8086726643803607
numeric__avg_resolution_hours,0.8000329356582382,0.8000329356582382
categorical__preferred_category_Baby,0.7869686883764355,0.7869686883764355
categorical__city_New York,-0.7759583763052543,0.7759583763052543
numeric__tenure_days,0.7438347684363704,0.7438347684363704
categorical__acquisition_channel_Affiliate,-0.7425310614463702,0.7425310614463702
categorical__city_Dallas,-0.7337970107480315,0.7337970107480315
categorical__city_Scottsdale,0.7267644048966744,0.7267644048966744
categorical__city_Orlando,-0.7222979753240696,0.7222979753240696
numeric__cart_to_purchase_rate,0.6812772972522341,0.6812772972522341
numeric__lifetime_revenue,-0.6552027128761143,0.6552027128761143
categorical__preferred_category_Pet,-0.6412744254318602,0.6412744254318602
numeric__product_view_sessions,0.6379746616715907,0.6379746616715907
numeric__marketing_touches,-0.6095280036476586,0.6095280036476586
categorical__favorite_category_by_spend_Pet,-0.6006723845634512,0.6006723845634512
categorical__city_Los Angeles,-0.5903969596311704,0.5903969596311704
numeric__avg_events_per_session,0.5728962946585525,0.5728962946585525
categorical__city_Boston,-0.546114128942455,0.546114128942455
categorical__favorite_category_by_spend_Apparel,-0.5256077598777851,0.5256077598777851
categorical__gender_Male,0.518772863032866,0.518772863032866
categorical__city_Buffalo,0.5186056442899418,0.5186056442899418
numeric__web_purchase_sessions,-0.5136013970623627,0.5136013970623627
numeric__checkout_sessions,-0.5136013970623627,0.5136013970623627
numeric__orders_180d,0.5014650976434873,0.5014650976434873
categorical__state_MA,0.49953266060559554,0.49953266060559554
numeric__price_sensitivity_score,0.47950603516074236,0.47950603516074236
numeric__marketing_cost,0.4553085233831758,0.4553085233831758
numeric__orders_90d,0.43571863334609334,0.43571863334609334
categorical__acquisition_channel_Referral,-0.424631100995322,0.424631100995322
categorical__city_Miami,-0.38592793068820574,0.38592793068820574
numeric__revenue_30d,0.37397576376271735,0.37397576376271735
categorical__city_Raleigh,-0.35395917537985855,0.35395917537985855
numeric__email_opt_in,-0.3502905216756618,0.3502905216756618
numeric__avg_csat,-0.33000740025787056,0.33000740025787056
categorical__preferred_category_Grocery,0.3291636196895549,0.3291636196895549
categorical__state_TX,0.3287956876955821,0.3287956876955821
categorical__gender_Prefer not to say,-0.3250962304180536,0.3250962304180536
numeric__avg_offer_pct,-0.3103180622867757,0.3103180622867757
categorical__city_Austin,-0.2970669244556654,0.2970669244556654
categorical__preferred_category_Apparel,0.29445499154547533,0.29445499154547533
categorical__gender_Non-binary,-0.2927314302939942,0.2927314302939942
numeric__orders_30d,-0.2867053763717686,0.2867053763717686
numeric__revenue_90d,-0.2827769328204589,0.2827769328204589
categorical__city_Naperville,0.2736999242380317,0.2736999242380317
categorical__state_CO,0.2722902532628704,0.2722902532628704
numeric__marketing_conversion_rate,-0.25763480536086086,0.25763480536086086
categorical__state_NY,-0.25735273201530984,0.25735273201530984
categorical__city_Denver,0.25154809271771983,0.25154809271771983
numeric__cart_sessions,0.23845838231796734,0.23845838231796734
categorical__state_WA,0.23169773551722145,0.23169773551722145
numeric__sessions_lifetime,-0.1932941993595531,0.1932941993595531
numeric__review_view_sessions,-0.19262421686797962,0.19262421686797962
categorical__state_AZ,-0.1910269136568553,0.1910269136568553
numeric__click_rate,0.17948103916198396,0.17948103916198396
numeric__push_opt_in,0.1699184865254307,0.1699184865254307
numeric__days_since_last_session,0.16980610813173241,0.16980610813173241
categorical__favorite_category_by_spend_Home,-0.1645916318923612,0.1645916318923612
numeric__revenue_180d,-0.1644394407056102,0.1644394407056102
numeric__age,-0.15026959605431556,0.15026959605431556
categorical__favorite_category_by_spend_Baby,-0.13980867631546562,0.13980867631546562
numeric__orders_per_active_month,-0.13156532789569875,0.13156532789569875
numeric__purchase_span_days,0.12994002894409748,0.12994002894409748
categorical__loyalty_tier_Silver,-0.11793067267803582,0.11793067267803582
categorical__acquisition_channel_Paid Social,0.113328125065205,0.113328125065205
numeric__open_rate,-0.11186910051148469,0.11186910051148469
