feature,coefficient,abs_coef
categorical__city_Naperville,0.038609177,0.038609177
numeric__orders_per_active_month,0.03594964,0.03594964
categorical__state_IL,0.0258342,0.0258342
categorical__acquisition_channel_Direct,0.02499283,0.02499283
categorical__favorite_category_by_spend_Home,0.023653861,0.023653861
categorical__state_NC,0.023514114,0.023514114
categorical__loyalty_tier_Unknown,0.023442103,0.023442103
numeric__session_conversion_rate,0.0220048,0.0220048
numeric__avg_discount,0.020742733,0.020742733
numeric__price_sensitivity_score,0.020377338,0.020377338
numeric__lifetime_revenue,0.020355618,0.020355618
categorical__state_MA,0.020011237,0.020011237
numeric__push_opt_in,0.019814145,0.019814145
numeric__purchase_span_days,0.01923423,0.01923423
numeric__age,0.019089779,0.019089779
categorical__preferred_category_Home,0.018870605,0.018870605
numeric__categories_purchased,0.018735278,0.018735278
categorical__city_Seattle,0.018543698,0.018543698
numeric__marketing_conversion_rate,0.017846668,0.017846668
categorical__loyalty_tier_Platinum,0.017681386,0.017681386
categorical__preferred_category_Baby,0.017447429,0.017447429
numeric__avg_session_minutes,0.017394016,0.017394016
categorical__city_Houston,0.01708806,0.01708806
numeric__avg_order_value,0.016489578,0.016489578
numeric__orders_30d,0.016450556,0.016450556
numeric__email_opens,0.016312646,0.016312646
numeric__lifetime_orders,0.016218409,0.016218409
numeric__favorite_category_spend,0.015737807,0.015737807
categorical__preferred_category_Sports,0.015731465,0.015731465
numeric__email_opt_in,0.015478585,0.015478585
numeric__click_rate,0.015131467,0.015131467
categorical__preferred_category_Beauty,0.014624581,0.014624581
categorical__acquisition_channel_Referral,0.014278232,0.014278232
numeric__avg_events_per_session,0.014186658,0.014186658
numeric__avg_resolution_hours,0.013451518,0.013451518
numeric__total_discount,0.013319636,0.013319636
numeric__marketing_touches,0.01325726,0.01325726
categorical__acquisition_channel_Organic Search,0.013051575,0.013051575
numeric__digital_engagement_score,0.012817663,0.012817663
numeric__support_tickets,0.012794758,0.012794758
numeric__revenue_90d,0.012573795,0.012573795
numeric__avg_offer_pct,0.012201025,0.012201025
numeric__revenue_180d,0.01130818,0.01130818
categorical__state_NY,0.011294718,0.011294718
numeric__orders_180d,0.011039123,0.011039123
numeric__revenue_30d,0.010989062,0.010989062
numeric__tenure_days,0.010907696,0.010907696
categorical__loyalty_tier_Silver,0.010779731,0.010779731
numeric__product_view_sessions,0.010719727,0.010719727
numeric__days_since_last_purchase,0.0104573835,0.0104573835
numeric__open_rate,0.010188621,0.010188621
numeric__cart_to_purchase_rate,0.010069566,0.010069566
numeric__cart_sessions,0.009861838,0.009861838
categorical__favorite_category_by_spend_Sports,0.009517017,0.009517017
numeric__marketing_clicks,0.0091535235,0.0091535235
categorical__favorite_category_by_spend_Beauty,0.009056129,0.009056129
categorical__favorite_category_by_spend_Grocery,0.008994131,0.008994131
numeric__marketing_cost,0.008804477,0.008804477
numeric__orders_90d,0.008718113,0.008718113
categorical__state_FL,0.007727638,0.007727638
numeric__sessions_lifetime,0.0068483,0.0068483
categorical__acquisition_channel_Affiliate,0.006548042,0.006548042
categorical__gender_Non-binary,0.0059652273,0.0059652273
numeric__days_since_last_session,0.0059423037,0.0059423037
categorical__favorite_category_by_spend_Baby,0.0058944873,0.0058944873
numeric__review_view_sessions,0.005495749,0.005495749
categorical__favorite_category_by_spend_Apparel,0.0036122317,0.0036122317
numeric__avg_csat,0.0026394462,0.0026394462
categorical__gender_Male,0.0021273405,0.0021273405
categorical__loyalty_tier_Gold,0.0,0.0
numeric__marketing_conversions_7d,0.0,0.0
categorical__preferred_category_Pet,0.0,0.0
categorical__acquisition_channel_Paid Search,0.0,0.0
categorical__preferred_category_Grocery,0.0,0.0
categorical__preferred_category_Electronics,0.0,0.0
categorical__acquisition_channel_Paid Social,0.0,0.0
numeric__checkout_sessions,0.0,0.0
categorical__favorite_category_by_spend_Electronics,0.0,0.0
numeric__is_new_customer,0.0,0.0
categorical__preferred_category_Apparel,0.0,0.0
numeric__web_purchase_sessions,0.0,0.0
categorical__favorite_category_by_spend_Pet,0.0,0.0
categorical__city_Boulder,0.0,0.0
categorical__state_TX,0.0,0.0
categorical__state_WA,0.0,0.0
categorical__city_Phoenix,0.0,0.0
categorical__city_Charlotte,0.0,0.0
categorical__city_Chicago,0.0,0.0
categorical__city_Dallas,0.0,0.0
categorical__city_Denver,0.0,0.0
categorical__city_Boston,0.0,0.0
categorical__city_Los Angeles,0.0,0.0
categorical__city_Miami,0.0,0.0
categorical__city_Austin,0.0,0.0
categorical__city_New York,0.0,0.0
categorical__city_Orlando,0.0,0.0
categorical__city_Raleigh,0.0,0.0
categorical__city_Cambridge,0.0,0.0
categorical__city_San Francisco,0.0,0.0
categorical__city_San Jose,0.0,0.0
categorical__city_Scottsdale,0.0,0.0
categorical__gender_Prefer not to say,0.0,0.0
categorical__city_Tacoma,0.0,0.0
categorical__state_AZ,0.0,0.0
categorical__state_CA,0.0,0.0
categorical__state_CO,0.0,0.0
categorical__gender_Female,0.0,0.0
numeric__unresolved_tickets,0.0,0.0
categorical__city_Buffalo,0.0,0.0
