feature,coefficient,abs_coef
numeric__days_since_last_session,273,273
numeric__days_since_last_purchase,263,263
numeric__tenure_days,213,213
numeric__avg_session_minutes,116,116
numeric__avg_events_per_session,115,115
numeric__revenue_180d,115,115
numeric__price_sensitivity_score,108,108
numeric__avg_order_value,99,99
numeric__age,98,98
numeric__revenue_90d,75,75
numeric__avg_offer_pct,71,71
numeric__avg_discount,70,70
numeric__total_discount,67,67
numeric__favorite_category_spend,67,67
numeric__orders_per_active_month,64,64
numeric__marketing_cost,63,63
numeric__digital_engagement_score,62,62
numeric__sessions_lifetime,60,60
numeric__revenue_30d,59,59
numeric__lifetime_revenue,59,59
numeric__orders_180d,53,53
numeric__product_view_sessions,44,44
numeric__marketing_touches,42,42
numeric__open_rate,41,41
numeric__session_conversion_rate,37,37
numeric__purchase_span_days,32,32
categorical__favorite_category_by_spend_Electronics,31,31
numeric__email_opens,26,26
categorical__loyalty_tier_Unknown,24,24
numeric__orders_90d,22,22
numeric__avg_resolution_hours,22,22
numeric__click_rate,20,20
categorical__loyalty_tier_Platinum,18,18
numeric__cart_sessions,17,17
numeric__checkout_sessions,16,16
numeric__cart_to_purchase_rate,16,16
numeric__lifetime_orders,14,14
numeric__marketing_conversion_rate,13,13
categorical__city_San Francisco,13,13
numeric__categories_purchased,12,12
categorical__loyalty_tier_Gold,12,12
numeric__marketing_clicks,12,12
numeric__support_tickets,11,11
categorical__acquisition_channel_Organic Search,9,9
categorical__favorite_category_by_spend_Sports,9,9
numeric__email_opt_in,8,8
numeric__review_view_sessions,8,8
categorical__preferred_category_Sports,7,7
categorical__preferred_category_Baby,7,7
categorical__city_Boston,7,7
categorical__state_NY,6,6
categorical__favorite_category_by_spend_Grocery,6,6
categorical__city_Charlotte,6,6
categorical__acquisition_channel_Referral,6,6
categorical__preferred_category_Apparel,5,5
categorical__gender_Female,5,5
categorical__favorite_category_by_spend_Apparel,4,4
categorical__acquisition_channel_Paid Social,3,3
categorical__acquisition_channel_Direct,3,3
categorical__gender_Prefer not to say,3,3
categorical__gender_Male,3,3
categorical__favorite_category_by_spend_Baby,3,3
categorical__state_CO,3,3
categorical__city_Orlando,2,2
numeric__orders_30d,2,2
categorical__state_AZ,2,2
categorical__state_WA,2,2
categorical__loyalty_tier_Silver,2,2
numeric__push_opt_in,2,2
categorical__state_TX,1,1
numeric__marketing_conversions_7d,1,1
categorical__state_MA,1,1
categorical__preferred_category_Beauty,1,1
categorical__acquisition_channel_Paid Search,1,1
categorical__preferred_category_Pet,1,1
categorical__acquisition_channel_Affiliate,1,1
numeric__is_new_customer,1,1
categorical__favorite_category_by_spend_Beauty,1,1
categorical__city_Dallas,1,1
categorical__city_Cambridge,1,1
categorical__gender_Non-binary,1,1
categorical__preferred_category_Grocery,0,0
categorical__preferred_category_Home,0,0
categorical__preferred_category_Electronics,0,0
categorical__favorite_category_by_spend_Home,0,0
categorical__favorite_category_by_spend_Pet,0,0
numeric__avg_csat,0,0
categorical__state_IL,0,0
categorical__state_NC,0,0
categorical__city_New York,0,0
categorical__city_Austin,0,0
categorical__city_Boulder,0,0
categorical__city_Chicago,0,0
categorical__city_Denver,0,0
categorical__city_Houston,0,0
categorical__city_Los Angeles,0,0
categorical__city_Miami,0,0
categorical__city_Naperville,0,0
categorical__city_Phoenix,0,0
numeric__unresolved_tickets,0,0
categorical__city_Raleigh,0,0
numeric__web_purchase_sessions,0,0
categorical__city_San Jose,0,0
categorical__city_Scottsdale,0,0
categorical__city_Seattle,0,0
categorical__city_Tacoma,0,0
categorical__state_CA,0,0
categorical__state_FL,0,0
categorical__city_Buffalo,0,0
