feature,coefficient,abs_coef
categorical__city_San Francisco,-1.3361350944575798,1.3361350944575798
numeric__support_tickets,1.3016861689122379,1.3016861689122379
categorical__loyalty_tier_Unknown,-1.0647259916181697,1.0647259916181697
categorical__city_San Jose,0.9675069386382781,0.9675069386382781
categorical__preferred_category_Beauty,-0.9283684920006908,0.9283684920006908
categorical__city_Phoenix,0.9147695310796087,0.9147695310796087
categorical__city_Charlotte,0.8833158718870193,0.8833158718870193
categorical__favorite_category_by_spend_Electronics,-0.8731117729819853,0.8731117729819853
categorical__favorite_category_by_spend_Sports,0.8479668595662586,0.8479668595662586
numeric__avg_discount,-0.8152972221584092,0.8152972221584092
categorical__loyalty_tier_Gold,0.8052290145401129,0.8052290145401129
numeric__orders_180d,-0.7561035563304082,0.7561035563304082
numeric__email_opens,-0.7471536864585597,0.7471536864585597
categorical__preferred_category_Pet,0.6779505084162588,0.6779505084162588
categorical__city_Scottsdale,-0.6777720714491339,0.6777720714491339
categorical__loyalty_tier_Platinum,0.66167759316068,0.66167759316068
categorical__state_IL,-0.6181441835390299,0.6181441835390299
categorical__favorite_category_by_spend_Grocery,0.5999355189960396,0.5999355189960396
categorical__city_Raleigh,-0.5799459655357295,0.5799459655357295
numeric__sessions_lifetime,0.5675704259562185,0.5675704259562185
numeric__cart_sessions,-0.5351184891179028,0.5351184891179028
numeric__marketing_touches,0.5223789311047815,0.5223789311047815
categorical__city_Tacoma,0.49652887749984903,0.49652887749984903
categorical__city_Seattle,-0.49476991789088764,0.49476991789088764
numeric__avg_csat,-0.4667734855230877,0.4667734855230877
categorical__preferred_category_Electronics,0.4615359268266237,0.4615359268266237
numeric__cart_to_purchase_rate,-0.4438936690176943,0.4438936690176943
numeric__tenure_days,-0.4360937928492438,0.4360937928492438
categorical__preferred_category_Grocery,-0.38625152809216373,0.38625152809216373
categorical__loyalty_tier_Silver,-0.38306618989154273,0.38306618989154273
categorical__state_FL,0.3813466167203357,0.3813466167203357
numeric__marketing_clicks,0.37197602154305454,0.37197602154305454
numeric__orders_90d,-0.3635711983689567,0.3635711983689567
numeric__open_rate,0.35476318881689395,0.35476318881689395
categorical__city_Naperville,-0.34907614819398686,0.34907614819398686
numeric__review_view_sessions,0.34694209479598975,0.34694209479598975
numeric__marketing_cost,-0.3450639223297784,0.3450639223297784
categorical__gender_Non-binary,0.3445211585856896,0.3445211585856896
numeric__session_conversion_rate,0.33616364774406726,0.33616364774406726
categorical__acquisition_channel_Direct,-0.3338032678391012,0.3338032678391012
categorical__acquisition_channel_Affiliate,0.3327505897991081,0.3327505897991081
categorical__state_TX,-0.3266615227134973,0.3266615227134973
categorical__city_New York,0.3252352323194281,0.3252352323194281
numeric__avg_order_value,0.3222971539352592,0.3222971539352592
categorical__gender_Male,-0.3176885069019056,0.3176885069019056
categorical__acquisition_channel_Referral,0.31551838448657976,0.31551838448657976
numeric__product_view_sessions,-0.3096686783228578,0.3096686783228578
categorical__favorite_category_by_spend_Baby,-0.30927268230962773,0.30927268230962773
numeric__categories_purchased,-0.30788091156293934,0.30788091156293934
numeric__total_discount,0.3050292169886943,0.3050292169886943
categorical__state_NC,0.3033699063512897,0.3033699063512897
categorical__city_Los Angeles,0.2990730715785977,0.2990730715785977
numeric__lifetime_revenue,0.29756029010442275,0.29756029010442275
numeric__lifetime_orders,-0.2948650474519909,0.2948650474519909
numeric__purchase_span_days,0.28293417101301577,0.28293417101301577
categorical__city_Austin,-0.2810601447545516,0.2810601447545516
categorical__city_Chicago,-0.26906803534504437,0.26906803534504437
categorical__city_Buffalo,-0.25849441703222964,0.25849441703222964
numeric__price_sensitivity_score,-0.2560816526055488,0.2560816526055488
numeric__orders_per_active_month,0.24502975390307385,0.24502975390307385
categorical__preferred_category_Baby,0.23964484157405233,0.23964484157405233
categorical__state_AZ,0.23699745963047594,0.23699745963047594
numeric__days_since_last_purchase,0.2351561999291117,0.2351561999291117
categorical__city_Orlando,0.23362651780809382,0.23362651780809382
numeric__push_opt_in,-0.22434420632785598,0.22434420632785598
numeric__checkout_sessions,0.22431444555779165,0.22431444555779165
numeric__web_purchase_sessions,0.22431444555779165,0.22431444555779165
numeric__digital_engagement_score,-0.22308363297181663,0.22308363297181663
numeric__click_rate,-0.21458013690788927,0.21458013690788927
categorical__city_Denver,-0.19740867240385399,0.19740867240385399
categorical__favorite_category_by_spend_Pet,-0.1954844832659439,0.1954844832659439
categorical__favorite_category_by_spend_Beauty,-0.18227828027605866,0.18227828027605866
numeric__avg_session_minutes,0.18029089213783572,0.18029089213783572
numeric__avg_resolution_hours,-0.17946528949540091,0.17946528949540091
categorical__state_MA,0.1760938922466964,0.1760938922466964
categorical__city_Boston,0.15960648041869446,0.15960648041869446
numeric__marketing_conversion_rate,-0.15874745079637304,0.15874745079637304
categorical__acquisition_channel_Organic Search,-0.15821182549637208,0.15821182549637208
categorical__city_Miami,0.14772009891224105,0.14772009891224105
categorical__state_CO,-0.13283243316064347,0.13283243316064347
categorical__preferred_category_Sports,-0.1286674605904475,0.1286674605904475
numeric__age,0.11638412269547023,0.11638412269547023
categorical__favorite_category_by_spend_Apparel,0.1137996337390522,0.1137996337390522
categorical__city_Houston,-0.10812395377468098,0.10812395377468098
numeric__orders_30d,-0.08530141915677411,0.08530141915677411
numeric__revenue_30d,0.07951957018174892,0.07951957018174892
categorical__gender_Prefer not to say,-0.07913626255527284,0.07913626255527284
numeric__revenue_90d,0.07500309115832654,0.07500309115832654
categorical__acquisition_channel_Paid Search,-0.07397935351243431,0.07397935351243431
numeric__revenue_180d,0.07298045782614368,0.07298045782614368
categorical__gender_Female,0.07141803706256682,0.07141803706256682
categorical__state_CA,-0.06955508424070603,0.06955508424070603
categorical__state_NY,0.06674081528719907,0.06674081528719907
categorical__city_Boulder,0.06457623924321006,0.06457623924321006
categorical__acquisition_channel_Paid Social,-0.06316010124670167,0.06316010124670167
categorical__city_Dallas,0.06252257581573364,0.06252257581573364
categorical__preferred_category_Apparel,0.057855801704043766,0.057855801704043766
numeric__days_since_last_session,-0.049528338796352274,0.049528338796352274
numeric__avg_events_per_session,0.04922220947090165,0.04922220947090165
numeric__is_new_customer,-0.043466313847347844,0.043466313847347844
numeric__favorite_category_spend,-0.03594925057960931,0.03594925057960931
numeric__avg_offer_pct,0.03518249460017351,0.03518249460017351
categorical__preferred_category_Home,0.025414828353400795,0.025414828353400795
categorical__favorite_category_by_spend_Home,0.01755963272334232,0.01755963272334232
categorical__city_Cambridge,0.016487411828001487,0.016487411828001487
numeric__marketing_conversions_7d,-0.01284823000036314,0.01284823000036314
numeric__email_opt_in,-0.007729633496982085,0.007729633496982085
categorical__state_WA,0.0017589596089599823,0.0017589596089599823
numeric__unresolved_tickets,0.0,0.0
