feature,coefficient,abs_coef
categorical__loyalty_tier_Platinum,0.025905035,0.025905035
numeric__marketing_clicks,0.022533948,0.022533948
categorical__preferred_category_Baby,0.021744415,0.021744415
categorical__favorite_category_by_spend_Beauty,0.02158535,0.02158535
categorical__loyalty_tier_Gold,0.020335028,0.020335028
categorical__loyalty_tier_Unknown,0.020193463,0.020193463
numeric__avg_resolution_hours,0.019553779,0.019553779
categorical__acquisition_channel_Paid Social,0.01900467,0.01900467
numeric__support_tickets,0.018697139,0.018697139
categorical__gender_Non-binary,0.018303396,0.018303396
categorical__city_Buffalo,0.01789854,0.01789854
numeric__avg_csat,0.017619612,0.017619612
numeric__price_sensitivity_score,0.01755311,0.01755311
numeric__orders_90d,0.017386734,0.017386734
categorical__favorite_category_by_spend_Apparel,0.017261755,0.017261755
categorical__acquisition_channel_Direct,0.016885186,0.016885186
categorical__favorite_category_by_spend_Sports,0.01666524,0.01666524
categorical__favorite_category_by_spend_Electronics,0.01627652,0.01627652
categorical__gender_Prefer not to say,0.016224887,0.016224887
numeric__lifetime_orders,0.016118707,0.016118707
numeric__orders_180d,0.015610207,0.015610207
numeric__revenue_180d,0.01522963,0.01522963
numeric__cart_to_purchase_rate,0.014979224,0.014979224
numeric__orders_per_active_month,0.014792495,0.014792495
numeric__avg_session_minutes,0.014441975,0.014441975
categorical__state_NY,0.014422886,0.014422886
numeric__avg_events_per_session,0.01440893,0.01440893
numeric__purchase_span_days,0.01438292,0.01438292
numeric__lifetime_revenue,0.014255416,0.014255416
numeric__email_opens,0.014190766,0.014190766
numeric__days_since_last_purchase,0.014049838,0.014049838
numeric__marketing_conversion_rate,0.013996668,0.013996668
numeric__favorite_category_spend,0.01388279,0.01388279
numeric__tenure_days,0.013810605,0.013810605
categorical__preferred_category_Beauty,0.013710816,0.013710816
numeric__session_conversion_rate,0.013662279,0.013662279
numeric__avg_offer_pct,0.013516754,0.013516754
numeric__total_discount,0.01350473,0.01350473
categorical__state_TX,0.01344205,0.01344205
numeric__avg_order_value,0.013137391,0.013137391
numeric__open_rate,0.013079878,0.013079878
numeric__click_rate,0.013059263,0.013059263
numeric__sessions_lifetime,0.013035703,0.013035703
categorical__acquisition_channel_Organic Search,0.012851764,0.012851764
numeric__product_view_sessions,0.012369984,0.012369984
numeric__age,0.012331201,0.012331201
categorical__city_Phoenix,0.012255292,0.012255292
numeric__revenue_30d,0.011848579,0.011848579
numeric__avg_discount,0.011700859,0.011700859
numeric__revenue_90d,0.011628379,0.011628379
categorical__city_Scottsdale,0.011108215,0.011108215
numeric__marketing_touches,0.011001897,0.011001897
numeric__days_since_last_session,0.010982132,0.010982132
categorical__preferred_category_Electronics,0.0107976,0.0107976
numeric__marketing_cost,0.010728365,0.010728365
numeric__email_opt_in,0.010486959,0.010486959
categorical__preferred_category_Sports,0.010396387,0.010396387
numeric__categories_purchased,0.010167382,0.010167382
numeric__digital_engagement_score,0.010130303,0.010130303
categorical__gender_Male,0.009901972,0.009901972
categorical__preferred_category_Home,0.009353356,0.009353356
categorical__preferred_category_Apparel,0.0085350955,0.0085350955
numeric__push_opt_in,0.008351879,0.008351879
categorical__city_Cambridge,0.007959506,0.007959506
categorical__state_IL,0.00780543,0.00780543
categorical__city_Orlando,0.0075333063,0.0075333063
numeric__cart_sessions,0.0071005314,0.0071005314
categorical__city_Boulder,0.006883972,0.006883972
categorical__gender_Female,0.0067163915,0.0067163915
categorical__state_NC,0.006246702,0.006246702
numeric__checkout_sessions,0.0058932505,0.0058932505
numeric__is_new_customer,0.005598333,0.005598333
numeric__review_view_sessions,0.0054674614,0.0054674614
categorical__loyalty_tier_Silver,0.005460168,0.005460168
categorical__state_AZ,0.0054512178,0.0054512178
categorical__city_Charlotte,0.004606499,0.004606499
categorical__preferred_category_Pet,0.0,0.0
categorical__preferred_category_Grocery,0.0,0.0
categorical__acquisition_channel_Affiliate,0.0,0.0
categorical__acquisition_channel_Paid Search,0.0,0.0
categorical__acquisition_channel_Referral,0.0,0.0
categorical__favorite_category_by_spend_Baby,0.0,0.0
categorical__favorite_category_by_spend_Grocery,0.0,0.0
numeric__marketing_conversions_7d,0.0,0.0
categorical__favorite_category_by_spend_Home,0.0,0.0
categorical__favorite_category_by_spend_Pet,0.0,0.0
numeric__orders_30d,0.0,0.0
categorical__state_MA,0.0,0.0
categorical__state_WA,0.0,0.0
categorical__city_New York,0.0,0.0
categorical__city_Austin,0.0,0.0
categorical__city_Boston,0.0,0.0
categorical__city_Chicago,0.0,0.0
categorical__city_Dallas,0.0,0.0
categorical__city_Denver,0.0,0.0
categorical__city_Houston,0.0,0.0
categorical__city_Los Angeles,0.0,0.0
categorical__city_Miami,0.0,0.0
numeric__unresolved_tickets,0.0,0.0
numeric__web_purchase_sessions,0.0,0.0
categorical__city_Raleigh,0.0,0.0
categorical__city_San Francisco,0.0,0.0
categorical__city_San Jose,0.0,0.0
categorical__city_Seattle,0.0,0.0
categorical__city_Tacoma,0.0,0.0
categorical__state_CA,0.0,0.0
categorical__state_CO,0.0,0.0
categorical__state_FL,0.0,0.0
categorical__city_Naperville,0.0,0.0
